股票代码,所属概念数量,所属概念,code,market_code
688308.SH,10,PCB概念;工业母机;光伏概念;2025年报预增;航空发动机;专精特新;人形机器人;机器人概念;商业航天;融资融券,688308,17
300438.SZ,23,钠离子电池;固态电池;两轮车;锂电池概念;深股通;新型烟草(电子烟);虚拟电厂;石墨烯;储能;燃料电池;长安汽车概念;充电桩;粤港澳大湾区;新能源汽车;机器人概念;无线耳机;低空经济;独角兽概念;小米概念;无人机;军工;消费电子概念;融资融券,300438,33
301557.SZ,7,碳纤维;风电;专精特新;海工装备;军工;无人机;融资融券,301557,33
002445.SZ,10,文化传媒概念;手机游戏;海工装备;独角兽概念;虚拟现实;国企改革;光伏建筑一体化;绿色电力;深股通;融资融券,002445,33
920046.BJ,9,光伏概念;抖音概念(字节概念);专精特新;高铁;储能;一带一路;数据中心;融资融券;智能电网,920046,151
002068.SZ,8,PVDF概念;回购增持再贷款概念;锂电池概念;国企改革;固态电池;碳中和;深股通;融资融券,002068,33
600268.SH,27,特高压;抽水蓄能;智能电网;虚拟电厂;超超临界发电;风电;核电;充电桩;储能;雅下水电概念;绿色电力;高端装备;高铁;央企国企改革;水利;商业航天;机器人概念;华为概念;新疆振兴;国企改革;雄安新区;人工智能;DeepSeek概念;数据要素;AI智能体;沪股通;融资融券,600268,17
600227.SH,9,化肥;煤化工概念;煤炭概念;西部大开发;民营医院;阿尔茨海默概念;仿制药一致性评价;医疗器械概念;创投,600227,17
600851.SH,11,物业管理;维生素;参股券商;互联网金融;仿制药一致性评价;细胞免疫治疗;创新药;生物疫苗;证金持股;融资融券;沪股通,600851,17
002082.SZ,11,阿尔茨海默概念;医疗器械概念;共同富裕示范区;肝炎概念;创新药;仿制药一致性评价;一带一路;生物疫苗;流感;医药电商;深股通,002082,33
002229.SZ,21,算力租赁;数字水印;东数西算(算力);数据中心;英伟达概念;云计算;福建自贸区;海峡两岸;Web3.0;元宇宙;区块链;数据要素;数字经济;ChatGPT概念;DeepSeek概念;人工智能;AIGC概念;虚拟数字人;体育产业;融资融券;深股通,002229,33
601789.SH,18,算力租赁;房屋检测;新型城镇化;水利;国资云;PPP概念;区块链;装配式建筑;阿里巴巴概念;腾讯概念;东数西算(算力);数据中心;百度概念;参股券商;国企改革;低空经济;沪股通;融资融券,601789,17
000973.SZ,14,固态电池;宁德时代概念;锂电池概念;比亚迪概念;OLED;粤港澳大湾区;国企改革;AI眼镜;特高压;航运概念;融资融券;证金持股;深股通;股权转让(并购重组),000973,33
603138.SH,10,华为鲲鹏;数据安全;信创;数据要素;人工智能;华为概念;横琴新区;数据中心;雄安新区;融资融券,603138,17
002575.SZ,12,Sora概念(文生视频);算力租赁;腾讯概念;区块链;华为昇腾;DeepSeek概念;东数西算(算力);创投;物业管理;粤港澳大湾区;深股通;融资融券,002575,33
000533.SZ,21,抽水蓄能;智能电网;超超临界发电;风电;核电;可控核聚变;充电桩;光伏概念;储能;海工装备;水利;数据中心;比亚迪概念;东数西算(算力);粤港澳大湾区;阿里巴巴概念;数字经济;百度概念;中芯国际概念;深股通;融资融券,000533,33
002261.SZ,31,华为欧拉;华为昇腾;华为鲲鹏;华为盘古;算力租赁;云计算;蚂蚁集团概念;国产操作系统;智慧政务;信创;鸿蒙概念;阿里巴巴概念;移动支付;东数西算(算力);托育服务;DeepSeek概念;在线教育;虚拟数字人;智慧城市;人工智能;车联网(车路协同);智能医疗;物联网;华为概念;手机游戏;工业互联网;机器人概念;三胎概念;AI应用;深股通;融资融券,002261,33
601969.SH,20,海南自贸区;天然气;黄金概念;自由贸易港;金属铜;小金属概念;金属钴;氟化工概念;固废处理;参股保险;锂电池概念;乡村振兴;旅游概念;碳中和;参股银行;回购增持再贷款概念;土壤修复;创投;沪股通;融资融券,601969,17
603165.SH,7,高股息精选;参股银行;污水处理;回购增持再贷款概念;长三角一体化;传感器;芯片概念,603165,17
000066.SZ,37,国产操作系统;信创;AI PC;中国AI 50;数据安全;华为鲲鹏;网络安全;量子科技;东数西算(算力);卫星导航;百度概念;车联网(车路协同);商业航天;军民融合;5G;华为概念;智慧城市;区块链;人工智能;军工;数字经济;数据中心;DeepSeek概念;汽车电子;芯片概念;消费电子概念;液冷服务器;粤港澳大湾区;海工装备;智能电网;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,000066,33
600821.SH,19,碳交易;风电;华为数字能源;绿色电力;储能;煤化工概念;算力租赁;天津自贸区;新疆振兴;东数西算(算力);回购增持再贷款概念;国企改革;京津冀一体化;智慧城市;DeepSeek概念;华为概念;数字经济;沪股通;融资融券,600821,17
000862.SZ,8,智能电网;风电;绿色电力;碳中和;央企国企改革;西部大开发;国企改革;深股通,000862,33
601877.SH,18,智能电网;虚拟电厂;风电;充电桩;光伏概念;储能;绿色电力;光伏建筑一体化;锂电池概念;数据中心;一带一路;特斯拉概念;机器人概念;物联网;人工智能;阿里巴巴概念;沪股通;融资融券,601877,17
002903.SZ,17,军工;同花顺新质50;工业母机;苹果概念;新能源汽车;芯片概念;比亚迪概念;专精特新;富士康概念;新型工业化;减速器;第三代半导体;消费电子概念;机器人概念;华为概念;小米概念;融资融券,002903,33
