market_code,股票代码,code,所属概念,所属概念数量
33,300152.SZ,300152,ST板块;土壤修复;净水概念;PPP概念;PM2.5;雄安新区;污水处理;创投;生物质能发电;碳中和;燃料电池;氢能源,12
33,300608.SZ,300608,算力租赁;云办公;华为欧拉;云计算;数据安全;华为鲲鹏;东数西算(算力);智慧政务;Web3.0;电子身份证;信创;财税数字化;数据确权;多模态AI;6G概念;人脸识别;数据中心;鸿蒙概念;5G;AI智能体;虚拟数字人;在线教育;AIGC概念;区块链;数据要素;语音技术;AI应用;车联网(车路协同);华为概念;智慧城市;物联网;消费电子概念;数字孪生;DeepSeek概念;互联网金融;数字经济;人工智能;职业教育;卫星导航;C2M概念;工业互联网;智能医疗;机器人概念;低空经济;雄安新区;乡村振兴;股权转让(并购重组),47
33,301379.SZ,301379,存储芯片;MiniLED;消费电子概念;汽车电子;PCB概念;比亚迪概念;无人机;智能家居;长安汽车概念;海峡两岸;低空经济;人工智能;西部大开发;深股通;融资融券,15
17,688182.SH,688182,WiFi 6;6G概念;商业航天;卫星导航;5G;芯片概念;专精特新;华为概念;新能源汽车;2025年报预增;国家大基金持股;智能电网;沪股通;融资融券,14
33,300634.SZ,300634,华为昇腾;智谱AI;云办公;多模态AI;华为鲲鹏;数据安全;云计算;ChatGPT概念;信创;算力租赁;网络安全;智慧政务;AIGC概念;抖音概念(字节概念);东数西算(算力);阿里巴巴概念;AI智能体;百度概念;腾讯概念;虚拟数字人;AI应用;数据要素;鸿蒙概念;元宇宙;区块链;车联网(车路协同);数据中心;华为概念;虚拟现实;6G概念;DeepSeek概念;5G;智慧城市;人工智能;数字经济;无人驾驶;智能医疗;低空经济;机器人概念;飞行汽车(eVTOL);粤港澳大湾区;IP经济(谷子经济);创投;融资融券;深股通,45
17,688360.SH,688360,人形机器人;新型工业化;机器人概念;拼多多概念;Web3.0;华为概念;物联网;专精特新;人工智能;数字经济;数字孪生;阿里巴巴概念;智能物流;跨境电商;高端装备;宁德时代概念;锂电池概念;储能;冷链物流;统一大市场;沪股通;融资融券,22
33,301176.SZ,301176,PCB概念;MiniLED;汽车电子;锂电池概念;融资融券,5
33,300657.SZ,300657,算力租赁;东数西算(算力);英伟达概念;AI PC;共封装光学(CPO);液冷服务器;云计算;数据中心;智谱AI;抖音概念(字节概念);阿里巴巴概念;PCB概念;AI手机;华为概念;AI眼镜;汽车电子;卫星导航;消费电子概念;元宇宙;柔性屏(折叠屏);虚拟现实;智能穿戴;MiniLED;小米概念;传感器;商业航天;新型烟草(电子烟);无人机;无线耳机;华为手机;DeepSeek概念;军工;机器人概念;小米汽车;新能源汽车;2025年报预增;储能;智能医疗;海峡两岸;宁德时代概念;福建自贸区;深股通;融资融券,43
33,300616.SZ,300616,空间计算;AI智能体;智能家居;AIGC概念;人工智能;IP经济(谷子经济);虚拟现实;海峡两岸;智能物流;养老概念;机器人概念;MR(混合现实);小红书概念,13
33,300632.SZ,300632,PET铜箔;先进封装;MiniLED;共封装光学(CPO);第三代半导体;柔性屏(折叠屏);PCB概念;富士康概念;消费电子概念;芯片概念;OLED;无线耳机;人形机器人;智能穿戴;汽车电子;AI眼镜;固态电池;传感器;比亚迪概念;5G;锂电池概念;机器人概念;福建自贸区;家用电器;无人机;脑机接口;无人驾驶;海峡两岸;人民币贬值受益;鸿蒙概念;充电桩;养老概念;储能;医美概念;一带一路;消毒剂,36
17,688126.SH,688126,国家大基金持股;中芯国际概念;存储芯片;芯片概念;人民币贬值受益;股权转让(并购重组);沪股通;融资融券,8
33,301120.SZ,301120,智能电网;风电;核电;海工装备;储能;光伏概念;军工;绿色电力;水利;专精特新;机器人概念;钠离子电池;柔性直流输电;深股通;融资融券,15
17,688419.SH,688419,先进封装;存储芯片;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,7
17,688610.SH,688610,PCB概念;MiniLED;AI眼镜;芯片概念;机器视觉;机器人概念;光伏概念;2025年报预增;锂电池概念;基因测序;融资融券,11
17,688260.SH,688260,光纤概念;汽车电子;消费电子概念;无人驾驶;华为概念;融资融券,6
17,688507.SH,688507,AI智能体;AI应用;商业航天;数字孪生;在线教育;人工智能;军工;低空经济;传感器;人形机器人;机器人概念;海工装备;股权转让(并购重组);沪股通;融资融券,15
151,920718.BJ,920718,新能源汽车;充电桩;融资融券;家用电器,4
33,301028.SZ,301028,专精特新;比亚迪概念;海峡两岸;福建自贸区;PCB概念;核电;雅下水电概念;深股通;融资融券,9
151,920475.BJ,920475,虚拟现实;数字孪生;金属铜;机器人概念;融资融券;智能物流;无人驾驶;专精特新;AIGC概念,9
17,688521.SH,688521,国家大基金持股;汽车芯片;先进封装;MCU芯片;AI手机;智能音箱;芯片概念;AI眼镜;虚拟现实;阿里巴巴概念;腾讯概念;数字货币;东数西算(算力);上海自贸区;物联网;无人驾驶;人工智能;沪股通;融资融券,19
33,301021.SZ,301021,MicroLED概念;培育钻石;第三代半导体;先进封装;PCB概念;消费电子概念;3D打印;芯片概念;高端装备;2025年报预增;光伏概念;钙钛矿电池;TOPCON电池;BC电池;医疗器械概念;CRO概念;深股通;融资融券,18
33,300212.SZ,300212,国资云;数据确权;财税数字化;数据安全;华为鲲鹏;数据要素;智慧政务;AI智能体;网络安全;信创;智慧城市;阿里巴巴概念;DeepSeek概念;百度概念;独角兽概念;数字经济;数字孪生;乡村振兴;智能医疗;车联网(车路协同);华为数字能源;创投;东数西算(算力);京津冀一体化;养老概念;人工智能;PPP概念;雄安新区;物联网;ST板块;国企改革;华为概念;央企国企改革;数据中心;一带一路;无人驾驶,36
33,300349.SZ,300349,星闪概念;传感器;AI智能体;数据要素;鸿蒙概念;AI应用;量子科技;人工智能;智慧城市;物联网;华为概念;云计算;DeepSeek概念;芯片概念;储能;氢能源;绿色电力;深股通;融资融券,19
151,920690.BJ,920690,光刻机;人形机器人;飞行汽车(eVTOL);芯片概念;融资融券;特斯拉概念;汽车电子;汽车热管理;机器人概念;新能源汽车;军工;低空经济;专精特新,13
33,300755.SZ,300755,跨境电商;西部大开发;融资融券;深股通,4
17,688292.SH,688292,华为昇腾;华为欧拉;数据安全;华为鲲鹏;网络安全;多模态AI;AIGC概念;AI智能体;AI应用;数据要素;东数西算(算力);同花顺新质50;车联网(车路协同);人工智能;5G;DeepSeek概念;无人驾驶;互联网金融;6G概念;低空经济;商业航天;融资融券,22
17,688691.SH,688691,汽车芯片;存储芯片;MCU芯片;中芯国际概念;芯片概念;小米概念;5G;卫星导航;专精特新;上海自贸区;沪股通;融资融券,12
33,300503.SZ,300503,富士康概念;PCB概念;商业航天;减速器;传感器;工业母机;芯片概念;人形机器人;新型工业化;比亚迪概念;专精特新;机器人概念;人工智能;新能源汽车;2025年报预增;海峡两岸;粤港澳大湾区;高端装备;光伏概念;燃料电池;氢能源;融资融券;深股通,23
33,300285.SZ,300285,5G;3D打印;消费电子概念;芯片概念;固态电池;宁德时代概念;牙科医疗;锂电池概念;商业航天;比亚迪概念;新能源汽车;卫星导航;氢能源;深股通;共封装光学(CPO);融资融券,16
33,301291.SZ,301291,智能电网;风电;储能;数据中心;光伏概念;东数西算(算力);海工装备;光伏建筑一体化;氢能源;抖音概念(字节概念);粤港澳大湾区;深股通;融资融券,13
33,300283.SZ,300283,工业母机;PCB概念;消费电子概念;比亚迪概念;第三代半导体;专精特新;新能源汽车;芯片概念;锂电池概念;数据中心;固态电池;储能;智能电网;医疗器械概念;光伏建筑一体化;光伏概念,16
17,688099.SH,688099,汽车芯片;智能音箱;WiFi 6;芯片概念;小米概念;智能座舱;汽车电子;共封装光学(CPO);机器视觉;机器人概念;东数西算(算力);智能家居;人工智能;人民币贬值受益;上海自贸区;沪股通;融资融券,17
151,920402.BJ,920402,融资融券;芯片概念;碳中和;硅能源;氢能源;国企改革;光伏概念,7
17,688629.SH,688629,共封装光学(CPO);铜缆高速连接;5G;数据中心;卫星导航;商业航天;高压快充;华为概念;比亚迪概念;无人机;军工;阿里巴巴概念;腾讯概念;低空经济;新能源汽车;机器人概念;核电;高铁;西部大开发;国企改革;沪股通;融资融券,22
33,300825.SZ,300825,减速器;数字经济;新型工业化;数据要素;AI智能体;智谱AI;人工智能;数字孪生;车联网(车路协同);智能物流;多模态AI;虚拟现实;农机;长安汽车概念;DeepSeek概念;人形机器人;机器人概念;低空经济;华为汽车;飞行汽车(eVTOL);京津冀一体化;比亚迪概念;换电概念;华为概念;无人驾驶;新能源汽车;智能座舱;算力租赁;乡村振兴;汽车电子;东数西算(算力);燃料电池;英伟达概念;芯片概念;汽车芯片;融资融券;深股通,37
17,688135.SH,688135,存储芯片;汽车芯片;先进封装;芯片概念;5G;传感器;东数西算(算力);卫星导航;比亚迪概念;无人驾驶;专精特新;阿里巴巴概念;沪股通;融资融券,14
151,920199.BJ,920199,鸿蒙概念;高压氧舱;西部大开发;脑机接口;融资融券;机器人概念;智能医疗;家用电器;医疗器械概念;体育产业;人民币贬值受益;人工智能;IP经济(谷子经济),13
33,301179.SZ,301179,柔性直流输电;虚拟电厂;电力物联网;智能电网;特高压;光伏建筑一体化;风电;充电桩;绿色电力;数据安全;网络安全;数据中心;多模态AI;光伏概念;数字经济;储能;物联网;DeepSeek概念;数字孪生;AI应用;人工智能;5G;低空经济;无人机;专精特新;新型工业化;机器人概念;2026一季报预增;深股通;融资融券,30
33,301387.SZ,301387,共封装光学(CPO);苹果概念;消费电子概念;智能穿戴;MiniLED;机器人概念;碳纤维;粤港澳大湾区;数字经济;一带一路;可降解塑料;融资融券,12
33,300010.SZ,300010,托育服务;ST板块;旅游概念;在线教育;财税数字化;语音技术;PPP概念;智慧政务;京津冀一体化;AI应用;AI视频;AIGC概念;DeepSeek概念;AI智能体;人工智能;智谱AI;信创;百度概念;腾讯概念;机器人概念,20
33,300057.SZ,300057,PET铜箔;固态电池;锂电池概念;钠离子电池;柔性屏(折叠屏);宁德时代概念;OLED;超级电容;建筑节能;比亚迪概念;光伏概念;小米概念;储能;华为概念;DeepSeek概念;AI智能体;虚拟数字人;新能源汽车;深股通;融资融券,20
33,300302.SZ,300302,存储芯片;东数西算(算力);云计算;数据安全;数据中心;信创;芯片概念;卫星导航;国产操作系统;专精特新;军工信息化;军工;深股通;融资融券,14
33,300721.SZ,300721,环氧丙烷;染料;光刻胶;锂电池概念;OLED;芯片概念;新能源汽车,7
17,688711.SH,688711,第三代半导体;汽车芯片;芯片概念;数据中心;比亚迪概念;华为概念;人形机器人;专精特新;新能源汽车;机器人概念;华为汽车;可控核聚变;光伏概念;充电桩;储能;回购增持再贷款概念;沪股通;融资融券,18
33,301313.SZ,301313,智谱AI;ChatGPT概念;AIGC概念;华为鲲鹏;智慧政务;数据要素;虚拟数字人;AI应用;空间计算;百度概念;元宇宙;智慧城市;数字孪生;车联网(车路协同);数字经济;人工智能;物联网;IP经济(谷子经济);数据中心;军工信息化;虚拟现实;低空经济;机器人概念;智能医疗;旅游概念;水利;污水处理;地下管网;融资融券,29
17,688702.SH,688702,国家大基金持股;中国AI 50;芯片概念;5G;数据中心;网络安全;沪股通;融资融券,8
33,301016.SZ,301016,高铁;无人驾驶;高端装备;一带一路;融资融券,5
33,300382.SZ,300382,人形机器人;专精特新;C2M概念;机器人概念;新能源汽车;减速器;工业互联网;锂电池概念;宁德时代概念;储能;绿色电力;融资融券;深股通,13
17,600481.SH,600481,硅能源;光热发电;光伏概念;储能;核电;数据中心;超超临界发电;工业互联网;高端装备;液冷服务器;氢能源;DeepSeek概念;专精特新;碳中和;融资融券;沪股通,16
151,920699.BJ,920699,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),5
17,603466.SH,603466,AI视频;文化传媒概念;NFT概念;IP经济(谷子经济);手机游戏;元宇宙;虚拟数字人;抖音概念(字节概念);AIGC概念;空间计算;虚拟现实;MR(混合现实);数据要素;百度概念;ChatGPT概念;数字孪生;网红经济;数字经济;旅游概念;华为概念;人形机器人;机器人概念;DeepSeek概念;乡村振兴;商业航天;融资融券;沪股通,27
17,603999.SH,603999,文化传媒概念;知识产权保护;NFT概念;IP经济(谷子经济);在线教育;腾讯概念;数据要素;参股保险;参股券商;国企改革;农村电商;西部大开发,12
17,600246.SH,600246,存储芯片;卫星导航;芯片概念;商业航天;5G;毫米波雷达;数字经济;创投;京津冀一体化;物业管理;沪股通;融资融券,12
33,000417.SZ,000417,跨境电商;养老概念;互联网金融;创投;人工智能;虚拟数字人;AI应用;冷链物流;统一大市场;参股银行;乡村振兴;充电桩;国企改革;农村电商;啤酒概念;黄金概念;证金持股;融资融券,18
33,002178.SZ,002178,家庭医生;智慧城市;智慧政务;数据要素;安防;鸿蒙概念;AI智能体;AI应用;物联网;智能医疗;人工智能;DeepSeek概念;养老概念;华为概念;数据中心;医疗器械概念;碳中和,17
17,603636.SH,603636,电子身份证;Web3.0;数据安全;网络安全;华为昇腾;华为盘古;信创;云计算;华为鲲鹏;人脸识别;智慧政务;数字乡村;鸿蒙概念;数据要素;车联网(车路协同);AI智能体;数据确权;虚拟数字人;AI应用;智慧城市;蚂蚁集团概念;阿里巴巴概念;数字经济;区块链;无人驾驶;百度概念;人工智能;华为概念;物联网;智谱AI;东数西算(算力);数字水印;算力租赁;DeepSeek概念;智慧灯杆;军工;海峡两岸;智能医疗;房屋检测;水利;乡村振兴;PPP概念;沪股通;融资融券,44
17,603608.SH,603608,C2M概念;粤港澳大湾区;跨境电商;抖音概念(字节概念);AIGC概念;网红经济;股权转让(并购重组),7
17,603727.SH,603727,天然气;俄乌冲突概念;中俄贸易概念;锂电池概念;一带一路;京津冀一体化;海工装备;融资融券,8
33,300976.SZ,300976,汽车电子;消费电子概念;小米概念;智能穿戴;苹果概念;芯片概念;特斯拉概念;柔性屏(折叠屏);比亚迪概念;新能源汽车;虚拟现实;华为概念;粤港澳大湾区;宁德时代概念;抖音概念(字节概念);光伏概念;储能;创投;碳纤维;脑机接口;深股通;融资融券,22
33,002845.SZ,002845,MiniLED;MicroLED概念;柔性屏(折叠屏);汽车电子;富士康概念;虚拟现实;小米概念;华为概念;消费电子概念;芯片概念;先进封装;智能穿戴;OLED;无人驾驶;机器视觉;无人机;智能家居;低空经济;机器人概念;粤港澳大湾区;固态电池;回购增持再贷款概念;广东自贸区;深股通,24
17,605218.SH,605218,MiniLED;OLED;虚拟现实;智能座舱;汽车电子;元宇宙;消费电子概念;长安汽车概念;比亚迪概念;特斯拉概念;智能家居,11
