code,股票代码,所属概念,所属概念数量,market_code
688820,688820.SH,科创次新股;先进封装;存储芯片;芯片概念;注册制次新股;新股与次新股;融资融券,7,17
688808,688808.SH,2026一季报预增;注册制次新股;专精特新;芯片概念;科创次新股;新股与次新股;融资融券,7,17
301306,301306.SZ,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,10,33
300672,300672.SZ,存储芯片;国家大基金持股;汽车芯片;芯片概念;WiFi 6;星闪概念;智能座舱;卫星导航;虚拟现实;机器视觉;东数西算(算力);物联网;专精特新;无人驾驶;车联网(车路协同);鸿蒙概念;机器人概念;人工智能;深股通;股权转让(并购重组);融资融券,21,33
300210,300210.SZ,东数西算(算力);3D打印;机器人概念;新能源汽车;PPP概念;雄安新区;股权转让(并购重组);深股通,8,33
688418,688418.SH,卫星导航;商业航天;6G概念;军工;无人机;低空经济;智慧政务;网络安全;飞行汽车(eVTOL);量子科技;车联网(车路协同);WiFi 6;智慧城市;物联网;5G;华为概念;AI智能体;机器人概念;人工智能;无人驾驶;智慧灯杆;数据中心;DeepSeek概念;华为数字能源;工业互联网;储能;F5G概念;光纤概念;养老概念;一带一路;沪股通;融资融券,32,17
688549,688549.SH,中芯国际概念;国家大基金持股;存储芯片;先进封装;芯片概念;氟化工概念;沪股通;融资融券,8,17
301517,301517.SZ,军工信息化;太赫兹;卫星导航;商业航天;军民融合;6G概念;毫米波雷达;军工;无人机;量子科技;华为海思概念股;5G;铜缆高速连接;消费电子概念;华为概念;共封装光学(CPO);光纤概念;西部大开发;国企改革;深股通;融资融券,21,33
301217,301217.SZ,PET铜箔;PCB概念;固态电池;锂电池概念;宁德时代概念;5G;比亚迪概念;储能;国企改革;深股通;融资融券,11,33
000790,000790.SZ,流感;医药电商;合成生物;创新药;医美概念;眼科医疗;装配式建筑;医疗器械概念;西部大开发;氟化工概念;锂电池概念;融资融券,12,33
600322,600322.SH,物业管理;天津自贸区;国企改革;京津冀一体化;股权转让(并购重组);融资融券,6,17
002081,002081.SZ,新型城镇化;装配式建筑;PPP概念;光伏建筑一体化;长三角一体化;一带一路;深股通;融资融券;第三代半导体;芯片概念;智能家居;人工智能;数据中心;数字孪生,14,33
603717,603717.SH,乡村振兴;雄安新区;PPP概念;生态农业;猪肉;特色小镇;西部大开发;绿色电力;锂电池概念;氟化工概念;钠离子电池,11,17
000402,000402.SZ,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券,11,33
000567,000567.SZ,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通,5,33
600540,600540.SH,粮食概念;土地流转;农业种植;新疆振兴;乡村振兴;建筑节能;西部大开发;国企改革;统一大市场;风电;冷链物流,11,17
002763,002763.SZ,跨境电商,1,33
000783,000783.SZ,期货概念;2025年报预增;深股通;融资融券,4,33
600246,600246.SH,存储芯片;卫星导航;毫米波雷达;芯片概念;5G;商业航天;数字经济;创投;京津冀一体化;物业管理;沪股通;融资融券,12,17
000980,000980.SZ,百度概念;新能源汽车;中俄贸易概念;一带一路;深股通;融资融券,6,33
600379,600379.SH,光热发电;特高压;虚拟电厂;智能电网;燃料电池;氢能源;高铁;储能;国企改革;央企国企改革;西部大开发;军工;芯片概念;融资融券,14,17
603937,603937.SH,锂电池概念,1,17
600158,600158.SH,赛马概念;足球概念;冰雪产业;体育产业;旅游概念;文化传媒概念;职业教育;NFT概念;京津冀一体化;国企改革;数字经济;在线教育;数据中心;沪股通;融资融券;中字头股票,16,17
002235,002235.SZ,知识产权保护;数据确权;NFT概念;Web3.0;文化传媒概念;体育产业;区块链;数据要素;网络安全;独角兽概念;蚂蚁集团概念;海峡两岸;福建自贸区;物业管理;比亚迪概念;股权转让(并购重组);融资融券,17,33
603190,603190.SH,一体化压铸;机器人概念;新能源汽车;无人驾驶;特斯拉概念;汽车拆解概念,6,17
002989,002989.SZ,新型城镇化;芯片概念;粤港澳大湾区;人工智能;国企改革;深股通,6,33
603095,603095.SH,高端装备;专精特新;机器视觉;创投;参股银行;华为概念,6,17
603711,603711.SH,共同富裕示范区;互联网金融;创投;沪股通,4,17
603131,603131.SH,卫星导航;商业航天;军工;高端装备;海工装备;工业母机;机器人概念;专精特新;新型工业化;新能源汽车;长三角一体化;人民币贬值受益;沪股通,13,17
002805,002805.SZ,钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;长安汽车概念;专精特新;融资融券,9,33
605222,605222.SH,柔性直流输电;可控核聚变;特高压;商业航天;海工装备;核电;军工;大飞机;光伏概念;风电;特斯拉概念;机器人概念;充电桩;数据中心;沪股通,15,17
002929,002929.SZ,算力租赁;华为昇腾;云办公;东数西算(算力);数据安全;信创;多模态AI;数据中心;阿里巴巴概念;空间计算;百度概念;AI智能体;虚拟数字人;数字乡村;华为数字能源;数据要素;电力物联网;元宇宙;AI应用;智慧城市;智慧灯杆;MR(混合现实);DeepSeek概念;数字孪生;5G;华为概念;虚拟电厂;虚拟现实;智能电网;人工智能;工业互联网;充电桩;低空经济;无人机;机器人概念;储能;军工;光伏概念;雄安新区;乡村振兴;一带一路;跨境电商;西部大开发;融资融券;深股通,45,33
603698,603698.SH,军民融合;军工;核电;高端装备;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,10,17
002181,002181.SZ,短剧游戏;文化传媒概念;足球概念;网红经济;IP经济(谷子经济);虚拟数字人;广东自贸区;AIGC概念;体育产业;旅游概念;职业教育;AI应用;智慧政务;独角兽概念;数字经济;互联网金融;人工智能;粤港澳大湾区;创投;国企改革;参股券商;融资融券;深股通,23,33
000628,000628.SZ,智慧政务;汽车芯片;数据要素;芯片概念;智慧城市;物联网;数字孪生;2025年报预增;新能源汽车;创投;储能;虚拟电厂;新型城镇化;PPP概念;西部大开发;国企改革;融资融券;深股通,18,33
603178,603178.SH,飞行汽车(eVTOL);汽车热管理;低空经济;无人驾驶;新能源汽车;减速器;华为汽车;比亚迪概念;机器人概念;长安汽车概念;共同富裕示范区;数字经济;融资融券;沪股通,14,17
002870,002870.SZ,华为汽车;长安汽车概念;人形机器人;智能座舱;机器人概念;汽车电子;特斯拉概念;低空经济;新能源汽车;信创;比亚迪概念;飞行汽车(eVTOL);高压快充;人工智能;充电桩;数字经济;芯片概念;人民币贬值受益;跨境电商;三胎概念;回购增持再贷款概念,21,33
600714,600714.SH,小金属概念;西部大开发;国企改革;央企国企改革,4,17
603726,603726.SH,空气能热泵;家用电器;先进封装;机器人概念;创投,5,17
001316,001316.SZ,大飞机;航空发动机;商业航天;低空经济;海峡两岸;AI眼镜;2025年报预增;消毒剂,8,33
605123,605123.SH,航空发动机;大飞机;商业航天;卫星导航;可控核聚变;军工;核电;海工装备;专精特新;风电;沪股通;融资融券,12,17
002842,002842.SZ,金属铜;小金属概念;光伏概念,3,33
002192,002192.SZ,锂电池概念;比亚迪概念;储能;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,7,33
002453,002453.SZ,光刻胶;深股通;融资融券,3,33
000553,000553.SZ,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,6,33
000007,000007.SZ,粤港澳大湾区;物业管理,2,33
002591,002591.SZ,垃圾分类;智慧城市;拼多多概念;专精特新;文化传媒概念;数据要素;腾讯概念;抖音概念(字节概念);锂电池概念;阿里巴巴概念;军工;百度概念;军民融合;固态电池;钠离子电池;绿色电力;超超临界发电,17,33
603360,603360.SH,机器人概念;人民币贬值受益;芯片概念;存储芯片;光刻机;消毒剂;沪股通,7,17
001215,001215.SZ,预制菜;三胎概念;海峡两岸;回购增持再贷款概念,4,33
603897,603897.SH,工业互联网;比亚迪概念;新能源汽车;机器人概念;一带一路;高股息精选;沪股通;融资融券,8,17
002158,002158.SZ,第三代半导体;芯片概念;专精特新;光伏概念;数据中心;燃料电池;空气能热泵;工业互联网;海峡两岸;氢能源;雄安新区;冷链物流;深股通;融资融券,14,33
600433,600433.SH,可降解塑料;烟草;国企改革;氢能源;燃料电池;军工;央企国企改革;融资融券;沪股通,9,17
603119,603119.SH,减速器;人形机器人;汽车热管理;特斯拉概念;新能源汽车;无人驾驶;机器人概念;宁德时代概念;专精特新;人民币贬值受益;共同富裕示范区;长三角一体化;一带一路;储能;沪股通;融资融券,16,17
605376,605376.SH,金属镍;小金属概念;硅能源;3D打印;2025年报预增;锂电池概念;光伏概念;专精特新;人民币贬值受益;融资融券;沪股通,11,17
002785,002785.SZ,盐湖提锂;小金属概念;锂电池概念;福建自贸区;海峡两岸;一带一路;核电;中俄贸易概念;俄乌冲突概念;深股通,10,33
605099,605099.SH,足球概念;体育产业;人民币贬值受益;沪股通,4,17
002240,002240.SZ,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,10,33
001268,001268.SZ,成飞概念;粤港澳大湾区,2,33
603629,603629.SH,算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;消费电子概念;芯片概念;OLED;军工;小米概念;2025年报预增;沪股通,14,17
002149,002149.SZ,航空发动机;商业航天;卫星导航;可控核聚变;超导概念;军工;核电;海工装备;5G;柔性屏(折叠屏);专精特新;小金属概念;西部大开发;医疗器械概念;燃料电池;氢能源;国企改革;俄乌冲突概念;深股通;融资融券,20,33
001218,001218.SZ,消毒剂,1,33
002990,002990.SZ,华为昇腾;人脸识别;信创;多模态AI;安防;存储芯片;鸿蒙概念;网络安全;智慧政务;车联网(车路协同);华为概念;芯片概念;物联网;传感器;无人驾驶;AI智能体;语音技术;人形机器人;智慧城市;核污染防治;AIGC概念;DeepSeek概念;机器人概念;机器视觉;人工智能;数字经济;冷链物流;一带一路;深股通,29,33
605299,605299.SH,足球概念;冰雪产业;体育产业;跨境电商;养老概念;海峡两岸;人工智能;AIGC概念;DeepSeek概念;鸿蒙概念;华为概念,11,17
603045,603045.SH,汽车电子;5G;HJT电池;数据中心;比亚迪概念;BC电池;智能电网;新能源汽车;2025年报预增;TOPCON电池;工业互联网;金属回收;充电桩;储能;智能家居;高铁;黄金概念;股权转让(并购重组);融资融券,19,17
