股票代码,所属概念数量,code,所属概念,market_code
300911.SZ,10,300911,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;AIGC概念;DeepSeek概念;人工智能;家用电器;深股通;融资融券,33
688006.SH,6,688006,固态电池;锂电池概念;动力电池回收;特斯拉概念;沪股通;融资融券,17
601588.SH,9,601588,物业管理;国企改革;养老概念;京津冀一体化;回购增持再贷款概念;数字经济;小米概念;沪股通;融资融券,17
002157.SZ,6,002157,猪肉;土地流转;乡村振兴;碳中和;深股通;融资融券,33
600664.SH,13,600664,维生素;医药电商;流感;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券,17
002647.SZ,9,002647,芯片概念;移动支付;东数西算(算力);数字货币;跨境支付(CIPS);云计算;区块链;互联网金融;摘帽,33
002314.SZ,16,002314,物业管理;统一大市场;国企改革;冷链物流;跨境电商;绿色电力;智能物流;一带一路;天然气;粤港澳大湾区;车联网(车路协同);专精特新;储能;海工装备;国产航母;深股通,33
002124.SZ,7,002124,猪肉;预制菜;绿色电力;元宇宙;机器人概念;深股通;摘帽,33
002328.SZ,9,002328,液冷服务器;特斯拉概念;新能源汽车;长三角一体化;储能;数据中心;创投;一带一路;融资融券,33
601778.SH,14,601778,虚拟电厂;光伏建筑一体化;光伏概念;绿色电力;储能;碳交易;风电;数据中心;氢能源;碳中和;阿里巴巴概念;腾讯概念;沪股通;融资融券,17
603269.SH,7,603269,液冷服务器;数据中心;核电;海峡两岸;超超临界发电;氢能源;一带一路,17
688123.SH,20,688123,存储芯片;汽车芯片;中芯国际概念;芯片概念;汽车电子;消费电子概念;AI眼镜;无线耳机;智能穿戴;小米概念;智能座舱;专精特新;数据中心;比亚迪概念;华为概念;新型烟草(电子烟);特斯拉概念;人民币贬值受益;沪股通;融资融券,17
001299.SZ,3,001299,天然气;西部大开发;物联网,33
605167.SH,8,605167,核电;海工装备;固废处理;氢能源;一带一路;中俄贸易概念;新型工业化;天然气,17
002297.SZ,12,002297,成飞概念;大飞机;航空发动机;军民融合;商业航天;军工;无人机;碳纤维;培育钻石;国企改革;2026一季报预增;融资融券,33
600469.SH,4,600469,国企改革;央企国企改革;新能源汽车;融资融券,17
002686.SZ,13,002686,水利;专精特新;军工;海工装备;长安汽车概念;数据中心;新能源汽车;汽车电子;高压快充;国企改革;阿里巴巴概念;化债概念(AMC概念);股权转让(并购重组),33
600855.SH,20,600855,军工信息化;商业航天;军民融合;军工;无人机;低空经济;车联网(车路协同);安防;智慧城市;ETC;信创;人工智能;物联网;央企国企改革;数据中心;医疗器械概念;储能;国企改革;融资融券;沪股通,17
002149.SZ,20,002149,航空发动机;商业航天;卫星导航;可控核聚变;军工;超导概念;核电;海工装备;5G;柔性屏(折叠屏);专精特新;西部大开发;小金属概念;燃料电池;国企改革;氢能源;医疗器械概念;俄乌冲突概念;深股通;融资融券,33
002580.SZ,20,002580,动力电池回收;钠离子电池;固态电池;锂电池概念;储能;高铁;新疆振兴;液冷服务器;创投;国企改革;雄安新区;军工;数据中心;华为概念;东数西算(算力);抖音概念(字节概念);快手概念;鸿蒙概念;深股通;融资融券,33
603698.SH,10,603698,军民融合;军工;高端装备;核电;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,17
603002.SH,9,603002,PCB概念;先进封装;芯片概念;5G;3D打印;比亚迪概念;海峡两岸;英伟达概念;沪股通,17
603139.SH,14,603139,农业种植;NMN概念;毛发医疗;流感;三胎概念;幽门螺杆菌概念;医药电商;乡村振兴;合成生物;肝炎概念;西部大开发;医疗器械概念;牙科医疗;股权转让(并购重组),17
603026.SH,9,603026,氟化工概念;锂电池概念;宁德时代概念;环氧丙烷;燃料电池;国企改革;新能源汽车;沪股通;融资融券,17
002885.SZ,20,002885,高压快充;数据中心;充电桩;富士康概念;5G;储能;光伏概念;第三代半导体;新能源汽车;比亚迪概念;无线充电;汽车电子;消费电子概念;小米概念;OLED;华为汽车;华为概念;2025年报预增;粤港澳大湾区;融资融券,33
002463.SZ,15,002463,PCB概念;汽车电子;5G;毫米波雷达;芯片概念;数据中心;华为概念;无人驾驶;人民币贬值受益;海峡两岸;污水处理;同花顺出海50;深股通;2026一季报预增;融资融券,33
603629.SH,14,603629,算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;消费电子概念;芯片概念;OLED;小米概念;2025年报预增;军工;沪股通,17
002990.SZ,28,002990,语音技术;鸿蒙概念;安防;AIGC概念;信创;人脸识别;智慧政务;物联网;人工智能;车联网(车路协同);数字经济;机器视觉;网络安全;华为概念;多模态AI;智慧城市;DeepSeek概念;华为昇腾;无人驾驶;机器人概念;传感器;人形机器人;芯片概念;存储芯片;冷链物流;核污染防治;一带一路;深股通,33
603171.SH,20,603171,AIGC概念;ChatGPT概念;AI智能体;财税数字化;华为鲲鹏;云计算;智慧政务;阿里巴巴概念;AI应用;数据要素;鸿蒙概念;信创;蚂蚁集团概念;中国AI 50;DeepSeek概念;人工智能;数字经济;智慧城市;融资融券;沪股通,17
002023.SZ,21,002023,航空发动机;大飞机;军民融合;商业航天;军工;卫星导航;无人机;飞行汽车(eVTOL);低空经济;毫米波雷达;太赫兹;无人驾驶;芯片概念;5G;汽车芯片;职业教育;第三代半导体;充电桩;西部大开发;深股通;融资融券,33
603061.SH,4,603061,芯片概念;2025年报预增;专精特新;沪股通,17
600539.SH,11,600539,净水概念;宠物经济;污水处理;跨境电商;小红书概念;海峡两岸;机器视觉;锂电池概念;AI应用;股权转让(并购重组);光伏概念,17
603109.SH,14,603109,数据中心;储能;新能源汽车;专精特新;机器人概念;人民币贬值受益;农机;无人机;水利;中俄贸易概念;一带一路;乡村振兴;西部大开发;沪股通,17
600396.SH,9,600396,超超临界发电;碳交易;绿色电力;碳中和;风电;国企改革;氢能源;央企国企改革;海工装备,17
603585.SH,0,603585,,17
002980.SZ,21,002980,共封装光学(CPO);血氧仪;核污染防治;PM2.5;AI眼镜;智能穿戴;华为鲲鹏;食品安全;充电桩;光伏概念;物联网;储能;DeepSeek概念;AI智能体;鸿蒙概念;新能源汽车;人民币贬值受益;智能医疗;核电;医疗器械概念;流感,33
