market_code,股票代码,code,所属概念,所属概念数量
17,603533.SH,603533,AI语料;ChatGPT概念;短剧游戏;AIGC概念;知识产权保护;抖音概念(字节概念);AI应用;鸿蒙概念;AI智能体;数据要素;文化传媒概念;人工智能;独角兽概念;IP经济(谷子经济);华为概念;电子纸;沪股通,17
17,603578.SH,603578,专精特新;共同富裕示范区;光伏概念,3
17,603115.SH,603115,汽车电子;数据中心(AIDC);专精特新;储能;高股息精选,5
17,600162.SH,600162,养老概念;京津冀一体化;粤港澳大湾区;民营医院;沪股通;融资融券,6
17,603663.SH,603663,稀土永磁;小金属概念;宁德时代概念;固态电池;一体化压铸;专精特新;芯片概念;核电;氢能源;海峡两岸;回购增持再贷款概念;沪股通;融资融券,13
33,000608.SZ,000608,租售同权;物业管理;西部大开发;粤港澳大湾区;摘帽;股权转让(并购重组),6
17,605289.SH,605289,智慧灯杆;液冷服务器;空间计算;数据中心(AIDC);风电;东数西算(算力);换电概念;光伏概念;虚拟现实;新能源汽车;储能;智慧城市;DeepSeek概念;人工智能;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),18
17,600353.SH,600353,第三代半导体;光刻机;先进封装;5G;特高压;可控核聚变;东数西算(算力);智能电网;军工;柔性直流输电;无人机;信创;军民融合;核电;智慧城市;无人驾驶;航空发动机;人形机器人;2025年报预增;DeepSeek概念;风电;虚拟电厂;西部大开发;沪股通;融资融券,25
33,001360.SZ,001360,黄金概念;金属回收;专精特新;一带一路;高端装备;雅下水电概念;锂电池概念;固废处理;机器视觉;融资融券,10
17,603895.SH,603895,专精特新;人形机器人;新型工业化;机器人概念;新能源汽车;华为概念;长安汽车概念;数字孪生;工业互联网;特斯拉概念;储能;锂电池概念;固态电池,13
17,603538.SH,603538,减肥药;CRO概念;流感;肝炎概念;合成生物;宠物经济;辅助生殖;人民币贬值受益;机器人概念;沪股通;融资融券,11
17,605300.SH,605300,预制菜;代糖概念;跨境电商;创投;沪股通,5
17,603011.SH,603011,可控核聚变;商业航天;航空发动机;军工;核电;高端装备;海工装备;工业母机;共封装光学(CPO);机器视觉;东数西算(算力);工业互联网;PCB概念;新型工业化;人工智能;比亚迪概念;新能源汽车;农机;特斯拉概念;新型烟草(电子烟);家用电器;食品安全;氢能源;固废处理;煤炭概念;沪股通;融资融券,27
33,001257.SZ,001257,金属铅;金属铜;注册制次新股;金属锌;小金属概念;国企改革;深股通;新股与次新股;融资融券,9
17,600726.SH,600726,超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,8
33,000601.SZ,000601,生物质能发电;抽水蓄能;绿色电力;东数西算(算力);充电桩;数据中心(AIDC);储能;长安汽车概念;新能源汽车;回购增持再贷款概念;比亚迪概念;减速器;深股通;融资融券,14
17,600744.SH,600744,超超临界发电;虚拟电厂;绿色电力;碳交易;煤炭概念;风电;碳中和;央企国企改革;核电;国企改革;融资融券;沪股通,12
33,002579.SZ,002579,PCB概念;共封装光学(CPO);AI PC;MiniLED;6G概念;MicroLED概念;5G;柔性屏(折叠屏);毫米波雷达;先进封装;汽车电子;AI手机;消费电子概念;OLED;WiFi 6;AI眼镜;智能穿戴;数据中心(AIDC);芯片概念;无线耳机;存储芯片;小米概念;智能音箱;比亚迪概念;无人驾驶;新型烟草(电子烟);卫星导航;商业航天;新能源汽车;无人机;人形机器人;海峡两岸;军工;物联网;机器人概念;储能;工业互联网;低空经济;粤港澳大湾区;军民融合;数字经济;医疗器械概念;创投;广东自贸区;养老概念;融资融券;深股通,47
33,300776.SZ,300776,MicroLED概念;第三代半导体;先进封装;OLED;MiniLED;PCB概念;BC电池;消费电子概念;芯片概念;钙钛矿电池;HJT电池;TOPCON电池;光伏概念;融资融券;深股通,15
