股票代码,所属概念数量,code,market_code,所属概念
300452.SZ,3,300452,33,合成生物;医美概念;专精特新
603439.SH,9,603439,17,医药电商;流感;创新药;阿尔茨海默概念;三胎概念;西部大开发;专精特新;股权转让(并购重组);沪股通
300298.SZ,11,300298,33,智能医疗;民营医院;蚂蚁集团概念;跨境电商;医疗器械概念;AI智能体;DeepSeek概念;人工智能;回购增持再贷款概念;深股通;融资融券
300757.SZ,22,300757,33,共封装光学(CPO);光纤概念;BC电池;富士康概念;苹果概念;华为海思概念股;TOPCON电池;芯片概念;HJT电池;英伟达概念;高端装备;光伏概念;新能源汽车;数据中心;新型工业化;商业航天;量子科技;华为概念;工业互联网;股权转让(并购重组);融资融券;深股通
002028.SZ,10,002028,33,特高压;抽水蓄能;智能电网;超级电容;电力物联网;充电桩;储能;芯片概念;深股通;融资融券
600237.SH,12,600237,17,PET铜箔;柔性直流输电;高压快充;华为数字能源;光伏概念;宁德时代概念;可控核聚变;新能源汽车;风电;回购增持再贷款概念;国企改革;融资融券
603181.SH,6,603181,17,有机硅概念;染料;工业互联网;风电;沪股通;融资融券
300400.SZ,16,300400,33,富士康概念;PCB概念;先进封装;柔性屏(折叠屏);OLED;MiniLED;消费电子概念;第三代半导体;MicroLED概念;芯片概念;比亚迪概念;新型工业化;机器视觉;华为概念;人工智能;深股通
300536.SZ,7,300536,33,东数西算(算力);算力租赁;芯片概念;新型城镇化;垃圾分类;PPP概念;摘帽
002675.SZ,9,002675,33,细胞免疫治疗;阿尔茨海默概念;创新药;CRO概念;仿制药一致性评价;幽门螺杆菌概念;专精特新;深股通;融资融券
688139.SH,10,688139,17,智能医疗;AI应用;AI智能体;DeepSeek概念;人工智能;医疗器械概念;物联网;机器人概念;沪股通;融资融券
688692.SH,7,688692,17,AI语料;信创;数据要素;华为概念;智能电网;沪股通;融资融券
688260.SH,6,688260,17,光纤概念;华为概念;消费电子概念;无人驾驶;汽车电子;融资融券
001389.SZ,19,001389,33,共封装光学(CPO);PCB概念;AI PC;富士康概念;5G;消费电子概念;汽车电子;数据中心;商业航天;粤港澳大湾区;华为概念;安防;机器人概念;卫星导航;人民币贬值受益;一带一路;人工智能;深股通;融资融券
300181.SZ,7,300181,33,医药电商;创新药;细胞免疫治疗;共同富裕示范区;独角兽概念;融资融券;深股通
300751.SZ,16,300751,33,HJT电池;钙钛矿电池;光伏概念;第三代半导体;MicroLED概念;高端装备;新型工业化;MiniLED;芯片概念;先进封装;OLED;存储芯片;锂电池概念;回购增持再贷款概念;融资融券;深股通
605488.SH,8,605488,17,人形机器人;机器人概念;传感器;专精特新;苹果概念;消费电子概念;华为概念;沪股通
300499.SZ,27,300499,33,液冷服务器;数据中心;汽车电子;东数西算(算力);柔性直流输电;特高压;专精特新;可控核聚变;军工;充电桩;比亚迪概念;新能源汽车;腾讯概念;阿里巴巴概念;核电;抖音概念(字节概念);储能;光伏概念;宁德时代概念;粤港澳大湾区;风电;锂电池概念;中俄贸易概念;一带一路;天然气;深股通;融资融券
603520.SH,5,603520,17,仿制药一致性评价;流感;氟化工概念;锂电池概念;专精特新
301391.SZ,10,301391,33,芯片概念;东数西算(算力);机器视觉;MicroLED概念;虚拟现实;元宇宙;人工智能;AI应用;深股通;融资融券
688227.SH,17,688227,17,军工;芯片概念;东数西算(算力);华为概念;华为欧拉;信创;人工智能;云计算;算力租赁;智慧政务;AI智能体;数据要素;DeepSeek概念;区块链;数字经济;互联网金融;融资融券
300984.SZ,3,300984,33,2025年报预增;深股通;融资融券
300194.SZ,10,300194,33,流感;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;创新药;猴痘概念;参股银行;西部大开发;深股通;融资融券
002633.SZ,7,002633,33,风电;核电;高端装备;海工装备;军民融合;国企改革;股权转让(并购重组)
000021.SZ,23,000021,33,存储芯片;先进封装;芯片概念;汽车电子;第三代半导体;共封装光学(CPO);超级电容;无人机;新能源汽车;物联网;机器人概念;人民币贬值受益;智能电网;智能物流;储能;区块链;数字经济;医疗器械概念;虚拟电厂;央企国企改革;国企改革;深股通;融资融券
603067.SH,10,603067,17,钛白粉概念;小金属概念;军工;钒电池;储能;锂电池概念;固态电池;维生素;沪股通;融资融券
301258.SZ,8,301258,33,合成生物;维生素;医疗器械概念;医美概念;阿尔茨海默概念;创投;2025年报预增;融资融券
600774.SH,14,600774,17,民营医院;辅助生殖;医美概念;幽门螺杆菌概念;三胎概念;物业管理;创新药;医药电商;流感;医疗器械概念;智能医疗;低空经济;DeepSeek概念;股权转让(并购重组)
603040.SH,7,603040,17,汽车热管理;新能源汽车;比亚迪概念;长安汽车概念;专精特新;污水处理;沪股通
688363.SH,7,688363,17,重组蛋白;医美概念;创新药;合成生物;2025年报预增;沪股通;融资融券
603444.SH,9,603444,17,网络游戏;手机游戏;IP经济(谷子经济);福建自贸区;海峡两岸;2025年报预增;2025三季报预增;沪股通;融资融券
300009.SZ,14,300009,33,生物疫苗;肝炎概念;流感;创新药;辅助生殖;仿制药一致性评价;细胞免疫治疗;基因测序;民营医院;医疗器械概念;智能医疗;人工智能;深股通;融资融券
300512.SZ,4,300512,33,柔性屏(折叠屏);无人零售;高端装备;创投
002030.SZ,16,002030,33,禽流感;猴痘概念;流感;幽门螺杆菌概念;肝炎概念;基因测序;辅助生殖;医疗器械概念;智能医疗;食品安全;人工智能;创投;互联网金融;国企改革;融资融券;深股通
300317.SZ,11,300317,33,虚拟电厂;光伏建筑一体化;绿色电力;风电;华为概念;光伏概念;储能;粤港澳大湾区;国企改革;OLED;锂电池概念
300601.SZ,7,300601,33,生物疫苗;流感;肝炎概念;创新药;合成生物;深股通;融资融券
000597.SZ,9,000597,33,流感;仿制药一致性评价;维生素;医药电商;创新药;辅助生殖;细胞免疫治疗;回购增持再贷款概念;深股通
000157.SZ,24,000157,33,雅下水电概念;高端装备;农机;新型工业化;无人驾驶;燃料电池;人民币贬值受益;机器人概念;无人机;人形机器人;工业互联网;水利;一带一路;固态电池;氢能源;物联网;高股息精选;人工智能;东数西算(算力);乡村振兴;百度概念;证金持股;深股通;融资融券
603063.SH,10,603063,17,储能;智能电网;光伏概念;抽水蓄能;风电;氢能源;粤港澳大湾区;海工装备;沪股通;融资融券
300049.SZ,12,300049,33,家庭医生;AI应用;智能医疗;肝炎概念;医疗器械概念;医药电商;三胎概念;人民币贬值受益;参股保险;西部大开发;深股通;融资融券
300012.SZ,40,300012,33,汽车芯片;芯片概念;雅下水电概念;小米概念;高铁;数据中心;汽车电子;核电;无人机;机器人概念;新能源汽车;星闪概念;低空经济;华为概念;物联网;海工装备;医疗器械概念;人工智能;车联网(车路协同);水利;PCB概念;商业航天;食品安全;房屋检测;基因测序;数字经济;网络安全;核污染防治;土壤修复;碳中和;辅助生殖;互联网金融;宠物经济;CRO概念;猴痘概念;创新药;流感;航运概念;深股通;融资融券
002209.SZ,7,002209,33,新型工业化;消毒剂;粤港澳大湾区;机器人概念;工业互联网;污水处理;2025年报预增
603179.SH,6,603179,17,特斯拉概念;新能源汽车;机器人概念;比亚迪概念;沪股通;融资融券
688117.SH,11,688117,17,减肥药;CRO概念;创新药;辅助生殖;三胎概念;西部大开发;2025年报预增;2025三季报预增;中俄贸易概念;沪股通;融资融券
920876.BJ,18,920876,151,2025年报预增;在线教育;移动支付;融资融券;数字经济;芯片概念;安防;人工智能;智能家居;鸿蒙概念;信创;智慧政务;物联网;机器人概念;消费电子概念;AI PC;专精特新;5G
688255.SH,6,688255,17,人形机器人;新型工业化;比亚迪概念;传感器;机器人概念;融资融券
688579.SH,19,688579,17,数据确权;智慧政务;信创;数据要素;区块链;AI智能体;虚拟数字人;DRG/DIP;DeepSeek概念;人工智能;虚拟现实;华为概念;智能医疗;量子科技;智能电网;虚拟电厂;AI应用;国企改革;融资融券
002837.SZ,20,002837,33,液冷服务器;英伟达概念;中国AI 50;数据中心;比亚迪概念;新能源汽车;东数西算(算力);华为概念;军工;充电桩;储能;粤港澳大湾区;高铁;家用电器;腾讯概念;抖音概念(字节概念);阿里巴巴概念;冷链物流;融资融券;深股通
920685.BJ,4,920685,151,融资融券;基因测序;合成生物;专精特新
300296.SZ,40,300296,33,MicroLED概念;MiniLED;智慧灯杆;柔性屏(折叠屏);OLED;商业航天;海工装备;第三代半导体;AI眼镜;智能穿戴;消费电子概念;无人机;虚拟现实;芯片概念;华为概念;智慧城市;机器视觉;小米概念;无人驾驶;空间计算;元宇宙;人形机器人;人工智能;京津冀一体化;数据要素;抖音概念(字节概念);DeepSeek概念;AIGC概念;腾讯概念;雄安新区;一带一路;虚拟数字人;体育产业;文化传媒概念;IP经济(谷子经济);乡村振兴;旅游概念;AI应用;深股通;融资融券
603311.SH,7,603311,17,家用电器;PM2.5;专精特新;人民币贬值受益;新能源汽车;大飞机;回购增持再贷款概念
688067.SH,10,688067,17,医疗器械概念;辅助生殖;专精特新;三胎概念;幽门螺杆菌概念;机器视觉;智能医疗;人工智能;医药电商;融资融券
920547.BJ,3,920547,151,专精特新;合成生物;融资融券
002931.SZ,4,002931,33,机器人概念;长安汽车概念;新能源汽车;股权转让(并购重组)
301458.SZ,16,301458,33,富士康概念;英伟达概念;消费电子概念;智能穿戴;传感器;小米概念;无人机;海峡两岸;华为概念;新能源汽车;机器人概念;高压快充;粤港澳大湾区;家用电器;深股通;融资融券
301186.SZ,13,301186,33,华为汽车;长安汽车概念;小米汽车;新能源汽车;专精特新;比亚迪概念;机器人概念;特斯拉概念;小米概念;换电概念;储能;锂电池概念;融资融券
301251.SZ,13,301251,33,共封装光学(CPO);PCB概念;富士康概念;5G;MiniLED;汽车电子;专精特新;新型工业化;工业互联网;机器人概念;一带一路;深股通;融资融券
605118.SH,15,605118,17,虚拟现实;人工智能;无人机;海峡两岸;安防;富士康概念;机器视觉;AI眼镜;专精特新;机器人概念;消费电子概念;人民币贬值受益;福建自贸区;智能座舱;沪股通
605376.SH,11,605376,17,金属镍;小金属概念;硅能源;光伏概念;3D打印;锂电池概念;2025年报预增;人民币贬值受益;专精特新;融资融券;沪股通
300858.SZ,8,300858,33,创新药;幽门螺杆菌概念;医美概念;宠物经济;三胎概念;乳业;土壤修复;京津冀一体化
001270.SZ,12,001270,33,6G概念;商业航天;卫星导航;军工信息化;军民融合;第三代半导体;军工;芯片概念;5G;专精特新;ST板块;共同富裕示范区
002444.SZ,13,002444,33,露营经济;参股银行;智能物流;无人驾驶;跨境电商;储能;人民币贬值受益;机器人概念;智能家居;军工;芯片概念;深股通;融资融券
600860.SH,12,600860,17,燃料电池;医疗废物处理;氢能源;新型工业化;机器人概念;低空经济;京津冀一体化;国企改革;天然气;俄乌冲突概念;沪股通;融资融券
603021.SH,3,603021,22,地下管网;ST板块;跨境电商
688003.SH,25,688003,17,英伟达概念;先进封装;PCB概念;第三代半导体;苹果概念;芯片概念;消费电子概念;小米概念;专精特新;机器视觉;新能源汽车;无人驾驶;人形机器人;新型工业化;机器人概念;高端装备;光伏概念;低空经济;车联网(车路协同);人工智能;智能物流;百度概念;DeepSeek概念;沪股通;融资融券
601021.SH,5,601021,17,免税店;跨境电商;证金持股;沪股通;融资融券
688593.SH,8,688593,17,电子纸;MicroLED概念;AI眼镜;OLED;智能穿戴;芯片概念;沪股通;融资融券
601689.SH,22,601689,17,汽车热管理;人形机器人;特斯拉概念;华为汽车;小米汽车;一体化压铸;新能源汽车;新型工业化;比亚迪概念;机器人概念;智能座舱;小米概念;汽车电子;同花顺新质50;无人驾驶;液冷服务器;同花顺出海50;英伟达概念;数据中心;中国AI 50;沪股通;融资融券
300142.SZ,7,300142,33,生物疫苗;流感;创新药;合成生物;西部大开发;深股通;融资融券
600812.SH,17,600812,17,生物疫苗;流感;维生素;仿制药一致性评价;肝炎概念;证金持股;创新药;化肥;合成生物;眼科医疗;重组蛋白;国企改革;雄安新区;数字经济;DeepSeek概念;沪股通;融资融券
000426.SZ,11,000426,33,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;金属钴;俄乌冲突概念;西部大开发;深股通;融资融券
605007.SH,3,605007,17,海峡两岸;共同富裕示范区;沪股通
605058.SH,14,605058,17,PCB概念;共封装光学(CPO);5G;汽车电子;毫米波雷达;数据中心;东数西算(算力);新能源汽车;智能家居;工业互联网;智能物流;商业航天;储能;一带一路
000533.SZ,21,000533,33,智能电网;抽水蓄能;风电;充电桩;超超临界发电;光伏概念;核电;数据中心;储能;水利;东数西算(算力);海工装备;百度概念;可控核聚变;阿里巴巴概念;数字经济;粤港澳大湾区;比亚迪概念;中芯国际概念;深股通;融资融券
920925.BJ,8,920925,151,2025年报预增;芯片概念;融资融券;跨境电商;医疗器械概念;专精特新;智能医疗;人民币贬值受益
603676.SH,5,603676,17,仿制药一致性评价;维生素;三胎概念;西部大开发;沪股通
600521.SH,8,600521,17,创新药;仿制药一致性评价;细胞免疫治疗;流感;阿尔茨海默概念;合成生物;沪股通;融资融券
601163.SH,6,601163,17,新能源汽车;人民币贬值受益;大飞机;军工;沪股通;融资融券
600791.SH,2,600791,17,国企改革;京津冀一体化
300685.SZ,9,300685,33,创新药;基因测序;医疗器械概念;智能医疗;专精特新;福建自贸区;海峡两岸;深股通;融资融券
605133.SH,10,605133,17,人形机器人;特斯拉概念;传感器;工业母机;一体化压铸;比亚迪概念;机器人概念;新能源汽车;汽车电子;沪股通
000526.SZ,11,000526,33,体育产业;职业教育;民营医院;在线教育;人工智能;DeepSeek概念;福建自贸区;海峡两岸;低空经济;回购增持再贷款概念;深股通
601601.SH,6,601601,17,沪股通;融资融券;证金持股;蚂蚁集团概念;同花顺中特估100;华为概念
920149.BJ,8,920149,151,光伏建筑一体化;融资融券;股权转让(并购重组);建筑节能;装配式建筑;光伏概念;新型城镇化;房屋检测
603011.SH,27,603011,17,可控核聚变;商业航天;军工;航空发动机;核电;海工装备;共封装光学(CPO);东数西算(算力);高端装备;人工智能;机器视觉;工业互联网;PCB概念;新型工业化;工业母机;新型烟草(电子烟);食品安全;比亚迪概念;新能源汽车;农机;氢能源;特斯拉概念;家用电器;固废处理;煤炭概念;沪股通;融资融券
600732.SH,7,600732,17,BC电池;TOPCON电池;光伏建筑一体化;光伏概念;风电;沪股通;融资融券
300145.SZ,26,300145,33,液冷服务器;数据中心;空气能热泵;核电;专精特新;风电;水利;比亚迪概念;储能;军工;垃圾分类;土壤修复;中俄贸易概念;污水处理;智慧城市;创投;净水概念;固废处理;中芯国际概念;新型城镇化;PPP概念;腾讯概念;国企改革;金属回收;深股通;融资融券
002788.SZ,8,002788,33,福建自贸区;海峡两岸;人工智能;智能医疗;养老概念;医疗器械概念;冷链物流;医药电商
002993.SZ,22,002993,33,汽车电子;AI PC;第三代半导体;消费电子概念;AI眼镜;苹果概念;小米概念;专精特新;数据中心;新能源汽车;无线充电;机器人概念;华为概念;光伏概念;充电桩;储能;露营经济;一带一路;跨境电商;广东自贸区;网红经济;深股通
603579.SH,16,603579,17,脑机接口;养老概念;智能医疗;鸿蒙概念;人工智能;Web3.0;DeepSeek概念;跨境电商;虚拟现实;阿里巴巴概念;小米概念;机器人概念;人民币贬值受益;专精特新;长三角一体化;沪股通
688350.SH,5,688350,17,专精特新;污水处理;氢能源;盐湖提锂;融资融券
920180.BJ,3,920180,151,医疗器械概念;新股与次新股;融资融券
603200.SH,14,603200,17,固态电池;钠离子电池;锂电池概念;2025年报预增;低空经济;华为概念;消毒剂;液冷服务器;海工装备;数据中心;腾讯概念;风电;污水处理;沪股通
300073.SZ,19,300073,33,钠离子电池;固态电池;动力电池回收;宁德时代概念;锂电池概念;特斯拉概念;储能;比亚迪概念;金属钴;新能源汽车;飞行汽车(eVTOL);小金属概念;高端装备;低空经济;无人机;国企改革;央企国企改革;深股通;融资融券
688051.SH,23,688051,17,数据安全;智慧政务;华为鲲鹏;物联网;智慧城市;量子科技;数据要素;PM2.5;数据确权;区块链;华为概念;AI智能体;人工智能;DeepSeek概念;算力租赁;虚拟数字人;东数西算(算力);传感器;数据中心;商业航天;碳中和;碳交易;融资融券
301276.SZ,4,301276,33,体育产业;三胎概念;IP经济(谷子经济);融资融券
688016.SH,4,688016,17,专精特新;医疗器械概念;沪股通;融资融券
688052.SH,12,688052,17,汽车芯片;MCU芯片;先进封装;芯片概念;消费电子概念;传感器;人形机器人;新能源汽车;机器人概念;物联网;沪股通;融资融券
600496.SH,11,600496,17,装配式建筑;NMN概念;新型城镇化;雄安新区;一带一路;回购增持再贷款概念;光伏建筑一体化;工业互联网;DeepSeek概念;沪股通;融资融券
301428.SZ,32,301428,33,快手概念;云计算;数据安全;网络安全;抖音概念(字节概念);多模态AI;数据确权;腾讯概念;AIGC概念;AI智能体;数据要素;鸿蒙概念;智慧城市;ETC;移动支付;数字货币;DeepSeek概念;人工智能;物联网;车联网(车路协同);数字经济;华为概念;互联网金融;AI应用;无人驾驶;网约车;宠物经济;新能源汽车;乡村振兴;西部大开发;新疆振兴;融资融券
301047.SZ,13,301047,33,CRO概念;重组蛋白;细胞免疫治疗;流感;肝炎概念;猴痘概念;合成生物;智能医疗;人工智能;人民币贬值受益;京津冀一体化;深股通;融资融券
002937.SZ,17,002937,33,液冷服务器;5G;PEEK材料;汽车电子;毫米波雷达;消费电子概念;新能源汽车;宁德时代概念;特斯拉概念;工业互联网;无人驾驶;虚拟现实;一带一路;人民币贬值受益;智能家居;深股通;融资融券
000739.SZ,15,000739,33,流感;创新药;CRO概念;仿制药一致性评价;减肥药;合成生物;宠物经济;医美概念;共同富裕示范区;养老概念;深股通;融资融券;AIGC概念;AI智能体;工业互联网
688103.SH,18,688103,17,芯片概念;军工;低空经济;商业航天;可控核聚变;飞行汽车(eVTOL);华为概念;大飞机;新能源汽车;高压快充;2025年报预增;宁德时代概念;特高压;柔性直流输电;培育钻石;回购增持再贷款概念;沪股通;融资融券
688327.SH,40,688327,17,华为昇腾;华为欧拉;多模态AI;云计算;ChatGPT概念;智慧政务;信创;算力租赁;AIGC概念;网络安全;AI智能体;虚拟数字人;数据确权;鸿蒙概念;区块链;元宇宙;东数西算(算力);人脸识别;DeepSeek概念;智慧城市;人工智能;车联网(车路协同);互联网金融;跨境支付(CIPS);华为概念;智能医疗;AI PC;机器视觉;无人零售;无人机;无人驾驶;芯片概念;机器人概念;养老概念;智能电网;AI应用;专精特新;人形机器人;沪股通;融资融券
300706.SZ,16,300706,33,PET铜箔;OLED;存储芯片;第三代半导体;钙钛矿电池;小金属概念;超导概念;芯片概念;消费电子概念;HJT电池;福建自贸区;专精特新;海峡两岸;光伏概念;钒电池;深股通
688095.SH,11,688095,17,AIGC概念;信创;智慧政务;鸿蒙概念;DeepSeek概念;人工智能;福建自贸区;AI应用;人民币贬值受益;沪股通;融资融券
300321.SZ,2,300321,33,国企改革;证金持股
000415.SZ,9,000415,33,雄安新区;新疆振兴;西部大开发;人民币贬值受益;参股保险;飞行汽车(eVTOL);低空经济;深股通;融资融券
300788.SZ,17,300788,33,知识产权保护;文化传媒概念;AIGC概念;抖音概念(字节概念);AI智能体;元宇宙;百度概念;数据要素;IP经济(谷子经济);职业教育;DeepSeek概念;人工智能;三胎概念;AI应用;国企改革;深股通;中字头股票
301093.SZ,6,301093,33,人工智能;创投;医疗器械概念;创新药;深股通;融资融券
002568.SZ,4,002568,33,超级品牌;长三角一体化;深股通;融资融券
688032.SH,7,688032,17,光伏概念;储能;回购增持再贷款概念;专精特新;人民币贬值受益;沪股通;融资融券
002920.SZ,22,002920,33,智能座舱;同花顺新质50;无人驾驶;华为汽车;小米汽车;长安汽车概念;传感器;车联网(车路协同);毫米波雷达;汽车电子;比亚迪概念;英伟达概念;机器人概念;华为概念;百度概念;海峡两岸;数字经济;粤港澳大湾区;回购增持再贷款概念;中国AI 50;深股通;融资融券
603222.SH,8,603222,17,民营医院;细胞免疫治疗;医美概念;医疗器械概念;幽门螺杆菌概念;创新药;回购增持再贷款概念;融资融券
688310.SH,4,688310,17,医疗器械概念;专精特新;高端装备;融资融券
301278.SZ,8,301278,33,钙钛矿电池;光伏建筑一体化;光伏概念;充电桩;储能;专精特新;机器人概念;融资融券
600186.SH,12,600186,17,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;2025三季报预增;回购增持再贷款概念;粮食概念;超级品牌;融资融券;沪股通
603170.SH,2,603170,17,预制菜;沪股通
000801.SZ,27,000801,33,军民融合;卫星导航;商业航天;军工信息化;军工;大飞机;低空经济;无人机;同花顺新质50;WiFi 6;智能物流;华为概念;人工智能;智能座舱;智能家居;数字经济;专精特新;DeepSeek概念;数据要素;消费电子概念;西部大开发;PCB概念;回购增持再贷款概念;国企改革;物业管理;深股通;融资融券
920273.BJ,6,920273,151,海峡两岸;乡村振兴;预制菜;专精特新;宠物经济;融资融券
301486.SZ,21,301486,33,共封装光学(CPO);光纤概念;富士康概念;芯片概念;消费电子概念;5G;MR(混合现实);比亚迪概念;新型工业化;数据中心;高端装备;东数西算(算力);华为概念;虚拟现实;粤港澳大湾区;华为昇腾;阿里巴巴概念;抖音概念(字节概念);股权转让(并购重组);深股通;融资融券
301110.SZ,12,301110,33,小红书概念;AI智能体;抖音概念(字节概念);数据要素;阿里巴巴概念;人工智能;跨境电商;三胎概念;宠物经济;AI应用;深股通;融资融券
002806.SZ,11,002806,33,汽车热管理;新能源汽车;无人驾驶;车联网(车路协同);高压快充;百度概念;燃料电池;储能;固态电池;新疆振兴;股权转让(并购重组)
688581.SH,5,688581,17,医疗器械概念;人民币贬值受益;机器人概念;沪股通;融资融券
600060.SH,25,600060,17,高股息精选;虚拟数字人;元宇宙;智能家居;数字经济;数据要素;AI智能体;人工智能;多模态AI;DeepSeek概念;家用电器;虚拟现实;MCU芯片;商业航天;机器人概念;智能穿戴;AI眼镜;MR(混合现实);汽车电子;消费电子概念;芯片概念;MiniLED;MicroLED概念;沪股通;融资融券
301202.SZ,11,301202,33,液冷服务器;数据中心;光纤概念;东数西算(算力);机器人概念;腾讯概念;阿里巴巴概念;换电概念;储能;深股通;融资融券
301389.SZ,13,301389,33,PET铜箔;富士康概念;苹果概念;汽车电子;消费电子概念;智能穿戴;专精特新;新能源汽车;智能座舱;海峡两岸;股权转让(并购重组);深股通;融资融券
301297.SZ,9,301297,33,中芯国际概念;光刻机;OLED;芯片概念;富士康概念;2025年报预增;股权转让(并购重组);深股通;融资融券
300534.SZ,13,300534,33,流感;医药电商;创新药;三胎概念;医疗器械概念;食品安全;中俄贸易概念;西部大开发;专精特新;国企改革;参股券商;2025年报预增;股权转让(并购重组)
002541.SZ,7,002541,33,同花顺中特估100;装配式建筑;PPP概念;光伏概念;机器人概念;融资融券;深股通
688786.SH,8,688786,17,3D打印;柔性屏(折叠屏);消费电子概念;专精特新;军工;特钢概念;动力电池回收;融资融券
301305.SZ,15,301305,33,固废处理;可降解塑料;垃圾分类;生物质能发电;碳交易;PPP概念;碳中和;绿色电力;合成生物;三胎概念;粤港澳大湾区;人工智能;创新药;深股通;融资融券
301125.SZ,4,301125,33,专精特新;人民币贬值受益;中俄贸易概念;融资融券
603360.SH,7,603360,17,存储芯片;光刻机;人民币贬值受益;芯片概念;机器人概念;消毒剂;沪股通
603886.SH,4,603886,17,IP经济(谷子经济);长三角一体化;海峡两岸;高股息精选
301306.SZ,10,301306,33,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券
002745.SZ,14,002745,33,MicroLED概念;MiniLED;小米概念;机器人概念;智能家居;PCB概念;粤港澳大湾区;光伏概念;人工智能;储能;人民币贬值受益;DeepSeek概念;深股通;融资融券
002655.SZ,18,002655,33,智能音箱;无人机;华为概念;智能穿戴;芯片概念;苹果概念;传感器;小米概念;消费电子概念;元宇宙;毫米波雷达;汽车电子;无线耳机;新能源汽车;新型烟草(电子烟);智能家居;一带一路;无线充电
002548.SZ,5,002548,33,乡村振兴;机器人概念;生态农业;猪肉;融资融券
300006.SZ,13,300006,33,细胞免疫治疗;辅助生殖;创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;眼科医疗;医疗器械概念;医药电商;西部大开发;国企改革;知识产权保护;融资融券
300345.SZ,14,300345,33,BC电池;TOPCON电池;HJT电池;硅能源;光伏概念;碳中和;储能;军民融合;人形机器人;军工;智能电网;机器人概念;智慧城市;华为概念
688368.SH,9,688368,17,MCU芯片;汽车芯片;英伟达概念;芯片概念;小米概念;无线充电;专精特新;沪股通;融资融券
603713.SH,10,603713,17,上海自贸区;航运概念;回购增持再贷款概念;统一大市场;跨境电商;智能物流;自由贸易港;人工智能;融资融券;沪股通
300626.SZ,7,300626,33,家用电器;机器人概念;新能源汽车;特斯拉概念;军工;国企改革;医药电商
688272.SH,12,688272,17,卫星导航;量子科技;军民融合;军工;无人机;芯片概念;车联网(车路协同);专精特新;机器视觉;无人驾驶;机器人概念;融资融券
688449.SH,5,688449,17,存储芯片;汽车芯片;芯片概念;沪股通;融资融券
301499.SZ,15,301499,33,传感器;高压快充;专精特新;汽车电子;燃料电池;汽车热管理;消费电子概念;芯片概念;新能源汽车;氢能源;无人驾驶;毫米波雷达;PCB概念;天然气;融资融券
605319.SH,4,605319,17,新能源汽车;特斯拉概念;小米汽车;沪股通
300471.SZ,13,300471,33,天然气;中俄贸易概念;氢能源;页岩气;燃料电池;成飞概念;一带一路;专精特新;军工;创投;物联网;西部大开发;融资融券
300676.SZ,18,300676,33,智能医疗;数据要素;基因测序;阿尔茨海默概念;辅助生殖;区块链;猴痘概念;肝炎概念;医药电商;流感;三胎概念;医疗器械概念;合成生物;创投;粤港澳大湾区;一带一路;深股通;融资融券
600320.SH,12,600320,17,海工装备;核电;央企国企改革;风电;高端装备;一带一路;国企改革;机器人概念;海峡两岸;自由贸易港;融资融券;沪股通
601118.SH,9,601118,17,海南自贸区;可降解塑料;碳中和;农业种植;国企改革;乡村振兴;军工;融资融券;沪股通
002281.SZ,19,002281,33,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;6G概念;5G;数据中心;东数西算(算力);量子科技;芯片概念;华为概念;阿里巴巴概念;腾讯概念;抖音概念(字节概念);百度概念;央企国企改革;国企改革;深股通;融资融券
300408.SZ,11,300408,33,光纤概念;共封装光学(CPO);5G;消费电子概念;燃料电池;数据中心;小米概念;华为概念;深股通;证金持股;融资融券
300882.SZ,16,300882,33,智能电网;电力物联网;虚拟电厂;储能;专精特新;传感器;新能源汽车;汽车电子;物联网;碳中和;AI应用;人工智能;数字经济;参股银行;深股通;融资融券
300069.SZ,5,300069,33,特高压;智能电网;核电;文化传媒概念;燃料电池
603755.SH,2,603755,17,人工智能;预制菜
600741.SH,23,600741,17,汽车热管理;上海国企改革;证金持股;小米汽车;参股券商;燃料电池;高股息精选;氢能源;新能源汽车;特斯拉概念;汽车电子;智能座舱;比亚迪概念;国企改革;无人驾驶;小米概念;毫米波雷达;固态电池;机器视觉;储能;沪股通;融资融券;大飞机
002429.SZ,31,002429,33,MicroLED概念;MiniLED;WiFi 6;F5G概念;共封装光学(CPO);第三代半导体;光纤概念;5G;拼多多概念;富士康概念;汽车芯片;短剧游戏;智能音箱;先进封装;PCB概念;抖音概念(字节概念);消费电子概念;AI应用;芯片概念;小米概念;AIGC概念;阿里巴巴概念;数据中心;鸿蒙概念;智能家居;粤港澳大湾区;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券
