股票代码,所属概念数量,code,market_code,所属概念
688658.SH,11,688658,17,细胞免疫治疗;创新药;幽门螺杆菌概念;仿制药一致性评价;医药电商;智能医疗;人工智能;华为概念;生物疫苗;融资融券;沪股通
920981.BJ,7,920981,151,共封装光学(CPO);华为海思概念股;融资融券;芯片概念;消费电子概念;汽车电子;专精特新
688610.SH,11,688610,17,芯片概念;MiniLED;AI眼镜;光伏概念;机器视觉;PCB概念;机器人概念;2025年报预增;锂电池概念;基因测序;融资融券
688176.SH,3,688176,17,创新药;沪股通;融资融券
920478.BJ,3,920478,151,创新药;融资融券;CRO概念
688221.SH,4,688221,17,创新药;医疗器械概念;沪股通;融资融券
301263.SZ,9,301263,33,眼科医疗;毛发医疗;医药电商;创新药;合成生物;减肥药;医疗器械概念;深股通;融资融券
300831.SZ,5,300831,33,柔性直流输电;特高压;芯片概念;西部大开发;国企改革
300486.SZ,18,300486,33,物联网;数据要素;数字孪生;人工智能;数字经济;机器视觉;新型工业化;DeepSeek概念;专精特新;工业互联网;机器人概念;智能物流;比亚迪概念;新能源汽车;统一大市场;宁德时代概念;深股通;股权转让(并购重组)
300394.SZ,13,300394,33,光纤概念;共封装光学(CPO);先进封装;5G;英伟达概念;数据中心;无人驾驶;华为概念;专精特新;同花顺新质50;人民币贬值受益;深股通;融资融券
688048.SH,14,688048,17,光纤概念;共封装光学(CPO);第三代半导体;芯片概念;数据中心;可控核聚变;汽车芯片;商业航天;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券
688180.SH,6,688180,17,猴痘概念;创新药;生物疫苗;AIGC概念;沪股通;融资融券
688521.SH,18,688521,17,智能音箱;汽车芯片;先进封装;东数西算(算力);阿里巴巴概念;国家大基金持股;腾讯概念;MCU芯片;虚拟现实;芯片概念;AI眼镜;无人驾驶;人工智能;物联网;上海自贸区;数字货币;沪股通;融资融券
002269.SZ,6,002269,33,三胎概念;参股银行;IP经济(谷子经济);上海自贸区;深股通;融资融券
688091.SH,4,688091,17,创新药;2025年报预增;沪股通;融资融券
600594.SH,7,600594,17,流感;医药电商;民营医院;医美概念;创新药;西部大开发;融资融券
600724.SH,5,600724,17,水泥概念;物业管理;共同富裕示范区;国企改革;沪股通
688073.SH,4,688073,17,人民币贬值受益;回购增持再贷款概念;沪股通;融资融券
000788.SZ,10,000788,33,流感;医药电商;仿制药一致性评价;创新药;民营医院;医疗器械概念;冷链物流;西部大开发;京津冀一体化;股权转让(并购重组)
600249.SH,7,600249,17,医药电商;流感;三胎概念;参股银行;西部大开发;参股券商;国企改革
600643.SH,6,600643,17,信托概念;互联网金融;参股券商;物业管理;沪股通;融资融券
601083.SH,13,601083,17,航运概念;中韩自贸区;统一大市场;自由贸易港;上海国企改革;上海自贸区;国企改革;一带一路;跨境电商;海峡两岸;2025三季报预增;沪股通;融资融券
603158.SH,18,603158,17,空气能热泵;汽车热管理;储能;长安汽车概念;数据中心;液冷服务器;华为汽车;新能源汽车;比亚迪概念;传感器;华为概念;汽车电子;燃料电池;专精特新;特斯拉概念;智能座舱;无线充电;氢能源
002645.SZ,13,002645,33,稀土永磁;金属钴;金属回收;金属铜;汽车拆解概念;消费电子概念;固废处理;垃圾分类;高端装备;新能源汽车;机器人概念;深股通;融资融券
