所属概念,market_code,股票代码,所属概念数量,code
柔性直流输电;特高压;智能电网;风电;核电;充电桩;海工装备;氢能源;一带一路;无人机;5G;数字经济;深股通;融资融券,33,002498.SZ,14,002498
租售同权;物业管理;智能物流;物联网;固态电池;芯片概念;融资融券,33,000056.SZ,7,000056
垃圾分类;碳中和;雄安新区;PPP概念;新型城镇化;医疗废物处理;地下管网;乡村振兴;土壤修复;绿色电力;固废处理;数字经济;污水处理;智慧城市;动力电池回收;人工智能;锂电池概念;车联网(车路协同);新能源汽车;无人驾驶;多模态AI;融资融券,33,000826.SZ,22,000826
C2M概念;新疆振兴;数字经济;跨境电商;人工智能;智能物流;华为概念;铜缆高速连接;工业互联网;AI智能体;AIGC概念;智能家居;融资融券;AI应用,17,600337.SH,14,600337
钠离子电池;氟化工概念;固态电池;动力电池回收;石墨电极;石墨烯;锂电池概念;宁德时代概念;光伏概念;超级电容;储能;比亚迪概念;新能源汽车;共同富裕示范区;苹果概念;参股银行;OLED;金属镍;小金属概念;MiniLED;消费电子概念;创投;虚拟现实;沪股通;融资融券,17,600884.SH,25,600884
青蒿素;信托概念;股权转让(并购重组);碳中和;西部大开发;地下管网;天然气;储能;氢能源;融资融券,33,000593.SZ,10,000593
中字头股票;盐湖提锂;稀土永磁;央企国企改革;国企改革;一带一路;PPP概念;高端装备;沪股通;融资融券,17,601068.SH,10,601068
租售同权;物业管理;西部大开发;京津冀一体化;数字经济;数据要素;AIGC概念;ChatGPT概念;深股通;鸿蒙概念;人工智能;华为概念;融资融券,33,000560.SZ,13,000560
机器人概念;人工智能;在线教育;跨境电商;三胎概念;IP经济(谷子经济);固态电池;钠离子电池;股权转让(并购重组),33,002348.SZ,9,002348
超超临界发电;抽水蓄能;绿色电力;核电;储能;国企改革;融资融券;深股通,33,000899.SZ,8,000899
共同富裕示范区;海峡两岸;沪股通,17,605007.SH,3,605007
新型城镇化;装配式建筑;一带一路;粤港澳大湾区;低空经济;数字经济;人工智能;文化传媒概念;百度概念;短剧游戏,33,002949.SZ,10,002949
国企改革;央企国企改革;沪股通;融资融券;京津冀一体化,17,600230.SH,5,600230
文化传媒概念;旅游概念;IP经济(谷子经济);特色小镇;在线教育;职业教育;三胎概念;数字经济;人工智能;粤港澳大湾区;国企改革;深股通,33,002678.SZ,12,002678
PCB概念;PET铜箔;光刻胶;苹果概念;OLED;柔性屏(折叠屏);消费电子概念;芯片概念;2025年报预增;BC电池;新能源汽车;光伏概念;燃料电池;氢能源;特高压;军工;商业航天;西部大开发;沪股通;融资融券,17,601208.SH,20,601208
一带一路;冷链物流;预制菜;沪股通,17,603057.SH,4,603057
小金属概念;超导概念;超级电容;可控核聚变;核电;航空发动机;商业航天;3D打印;央企国企改革;芯片概念;西部大开发;国企改革;深股通,33,000962.SZ,13,000962
磷化工;化肥;氟化工概念;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通,17,600096.SH,12,600096
军工信息化;商业航天;卫星导航;军民融合;军工;无人机;低空经济;福建自贸区;华为欧拉;MR(混合现实);海工装备;海峡两岸;安防;网络安全;5G;智慧政务;数据安全;华为鲲鹏;信创;多模态AI;芯片概念;华为概念;虚拟现实;元宇宙;数字经济;人工智能;DeepSeek概念;央企国企改革;风电;国企改革;乡村振兴;深股通;融资融券,33,000547.SZ,33,000547
污水处理;注册制次新股;专精特新;地下管网;新型城镇化;智慧城市;人工智能;新股与次新股;融资融券,33,001396.SZ,9,001396
金属铅;金属锌;金属铜;小金属概念;西部大开发;DeepSeek概念;国企改革;沪股通,17,600301.SH,8,600301
小金属概念;商业航天;卫星导航;军工;光纤概念;第三代半导体;氟化工概念;光伏概念;芯片概念;华为概念;西部大开发;深股通;融资融券,33,002428.SZ,13,002428
钛白粉概念;小金属概念;钒电池;锂电池概念;西部大开发;参股银行;股权转让(并购重组);融资融券;深股通,33,002978.SZ,9,002978
稀土永磁;2025三季报预增;OLED;芯片概念;国家大基金持股;先进封装;存储芯片;中芯国际概念;5G;军工;华为概念;牙科医疗;2025年报预增;央企国企改革;国企改革;京津冀一体化;医疗器械概念;雄安新区;沪股通;融资融券,17,600206.SH,20,600206
金属钴;小金属概念;金属铜;金属回收;PCB概念;海南自贸区;光伏概念;工业母机;雅下水电概念;可控核聚变;高端装备;医疗器械概念;国企改革;军工;乡村振兴;深股通;创投;DeepSeek概念;股权转让(并购重组);中字头股票;融资融券,33,000657.SZ,21,000657
智慧灯杆;空间计算;数据要素;智慧城市;物联网;网约车;新型城镇化;芯片概念;存储芯片;股权转让(并购重组),17,605178.SH,10,605178
空间计算;智慧灯杆;换电概念;新能源汽车;液冷服务器;东数西算(算力);智慧城市;虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),17,605289.SH,14,605289
福建自贸区;钛白粉概念;海峡两岸;专精特新;沪股通;融资融券,17,603826.SH,6,603826
参股券商;氢能源;国企改革;燃料电池;机器人概念;新能源汽车;汽车热管理;人形机器人;汽车芯片;毫米波雷达;芯片概念;汽车电子;深股通;融资融券,33,000581.SZ,14,000581
超级电容;AI眼镜;高压快充;汽车电子;传感器;共封装光学(CPO);5G;智能穿戴;液冷服务器;无人机;比亚迪概念;低空经济;商业航天;卫星导航;光伏概念;东数西算(算力);机器人概念;华为概念;储能;粤港澳大湾区;创投;小金属概念;锂电池概念;国企改革;深股通;融资融券,33,000636.SZ,26,000636
小金属概念;金属铜;2025年报预增;工业母机;深股通;融资融券;军工,33,002378.SZ,7,002378
生物疫苗;流感;辅助生殖;阿尔茨海默概念;智能医疗;医美概念;创新药;证金持股;AI智能体;国企改革;回购增持再贷款概念;深股通;融资融券,33,000661.SZ,13,000661
固态电池;小金属概念;金属铅;金属锌;锂电池概念;金属回收;储能;回购增持再贷款概念;绿色电力;西部大开发;职业教育;创投;参股银行;乡村振兴;旅游概念;深股通,33,001203.SZ,16,001203
碳纤维;新能源汽车;5G;芯片概念;燃料电池;共同富裕示范区;中俄贸易概念;人民币贬值受益;回购增持再贷款概念;一带一路;股权转让(并购重组),33,002725.SZ,11,002725
稀土永磁;小金属概念;金属回收;2025三季报预增;氢能源;回购增持再贷款概念;军工;同花顺漂亮100;西部大开发;国企改革;专精特新;2025年报预增;沪股通;融资融券,17,600111.SH,14,600111
上海自贸区;天然气;央企国企改革;航运概念;俄乌冲突概念;回购增持再贷款概念;一带一路;国企改革;融资融券;海峡两岸;沪股通,17,601872.SH,11,601872
金属锌;金属铅;金属铜;小金属概念;西部大开发;粮食概念;绿色电力;乡村振兴,33,002114.SZ,8,002114
芯片概念;新型城镇化;粤港澳大湾区;人工智能;国企改革;深股通,33,002989.SZ,6,002989
IP经济(谷子经济);三胎概念;跨境电商;数字经济;粤港澳大湾区,33,001209.SZ,5,001209
国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,17,688072.SH,6,688072
光伏建筑一体化;建筑节能;雄安新区;硅能源;一带一路;光伏概念;军工;特斯拉概念;OLED;消费电子概念;汽车电子;深股通;融资融券,33,000012.SZ,13,000012
人民币贬值受益;回购增持再贷款概念;中俄贸易概念;一带一路;光伏概念;海工装备;工业互联网;智能电网;沪股通,17,605196.SH,9,605196
煤炭概念;国企改革;沪股通;股权转让(并购重组),17,600397.SH,4,600397
