market_code,股票代码,所属概念数量,所属概念,code
17,603070.SH,7,智能电网;数字经济;储能;共同富裕示范区;数据中心;沪股通;融资融券,603070
17,600683.SH,8,特色小镇;物业管理;土地流转;旅游概念;养老概念;国企改革;创投;京津冀一体化,600683
17,603269.SH,7,液冷服务器;数据中心;核电;超超临界发电;海峡两岸;氢能源;一带一路,603269
33,000925.SZ,36,数据确权;ChatGPT概念;信创;数字水印;算力租赁;时空大数据;东数西算(算力);多模态AI;车联网(车路协同);数据要素;虚拟数字人;智慧城市;华为概念;元宇宙;芯片概念;数字孪生;先进封装;人工智能;数据中心;数字经济;高铁;工业互联网;机器视觉;空间计算;无人驾驶;卫星导航;机器人概念;无人机;低空经济;回购增持再贷款概念;医疗器械概念;乡村振兴;商业航天;一带一路;合成生物;深股通,000925
17,600172.SH,8,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;旅游概念;沪股通;融资融券,600172
33,002208.SZ,9,独角兽概念;新型城镇化;创投;长三角一体化;租售同权;养老概念;物业管理;国企改革;深股通,002208
17,601991.SH,10,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券,601991
33,000950.SZ,22,医药电商;创新药;减肥药;辅助生殖;医美概念;啤酒概念;股权转让(并购重组);冷链物流;医疗器械概念;统一大市场;三胎概念;养老概念;智能医疗;央企国企改革;西部大开发;国企改革;回购增持再贷款概念;智能物流;创投;机器人概念;融资融券;深股通,000950
17,600396.SH,9,超超临界发电;绿色电力;碳交易;风电;碳中和;氢能源;国企改革;央企国企改革;海工装备,600396
17,603682.SH,6,租售同权;物业管理;新型城镇化;IP经济(谷子经济);高股息精选;小红书概念,603682
17,603203.SH,27,共封装光学(CPO);先进封装;富士康概念;PCB概念;苹果概念;OLED;第三代半导体;液冷服务器;汽车电子;存储芯片;芯片概念;AI眼镜;无线耳机;智能穿戴;中芯国际概念;机器视觉;新型工业化;比亚迪概念;华为概念;专精特新;新能源汽车;宁德时代概念;机器人概念;高端装备;工业互联网;人工智能;沪股通,603203
33,000029.SZ,6,物业管理;粤港澳大湾区;深圳国企改革;国企改革;深股通;融资融券,000029
17,603211.SH,12,卫星导航;毫米波雷达;人形机器人;特斯拉概念;比亚迪概念;专精特新;机器人概念;无人驾驶;新能源汽车;智能家居;长三角一体化;沪股通,603211
33,002190.SZ,17,成飞概念;大飞机;军工;航空发动机;无人机;低空经济;商业航天;国企改革;西部大开发;长安汽车概念;华为汽车;新能源汽车;专精特新;储能;锂电池概念;融资融券;深股通,002190
17,603895.SH,13,人形机器人;新型工业化;长安汽车概念;机器人概念;华为概念;专精特新;新能源汽车;特斯拉概念;数字孪生;工业互联网;储能;锂电池概念;固态电池,603895
33,001359.SZ,10,PCB概念;特斯拉概念;新能源汽车;宁德时代概念;固态电池;汽车热管理;高铁;储能;深股通;融资融券,001359
17,605198.SH,3,人民币贬值受益;乡村振兴;沪股通,605198
33,001211.SZ,5,露营经济;三胎概念;跨境电商;预制菜;IP经济(谷子经济),001211
17,603052.SH,11,共封装光学(CPO);消费电子概念;传感器;芯片概念;专精特新;新能源汽车;OLED;宁德时代概念;固态电池;锂电池概念;沪股通,603052
