code,market_code,股票代码,所属概念,所属概念数量
002995,33,002995.SZ,快手概念;小红书概念;短剧游戏;Web3.0;云办公;抖音概念(字节概念);拼多多概念;虚拟数字人;文化传媒概念;AIGC概念;腾讯概念;元宇宙;AI智能体;财税数字化;百度概念;阿里巴巴概念;IP经济(谷子经济);区块链;DeepSeek概念;数字经济;人工智能;虚拟现实;京津冀一体化;预制菜;AI应用,25
603103,17,603103.SH,IP经济(谷子经济);文化传媒概念;短剧游戏;共同富裕示范区;虚拟现实;沪股通;融资融券,7
603391,17,603391.SH,工业互联网;专精特新;融资融券,3
002952,33,002952.SZ,智能家居;数字经济;电子纸;虚拟现实;柔性屏(折叠屏);家用电器;充电桩;数字货币;智能穿戴;人民币贬值受益;新能源汽车;消费电子概念;汽车电子,13
603172,17,603172.SH,染料;融资融券,2
601869,17,601869.SH,共封装光学(CPO);铜缆高速连接;光纤概念;第三代半导体;特高压;芯片概念;5G;沪股通;风电;新能源汽车;智能电网;人形机器人;海工装备;专精特新;一带一路;机器人概念;工业互联网;量子科技;太赫兹;创投;抖音概念(字节概念);融资融券,22
600667,17,600667.SH,存储芯片;先进封装;OLED;芯片概念;数据中心;回购增持再贷款概念;光伏建筑一体化;绿色电力;沪股通;融资融券;国企改革,11
603598,17,603598.SH,快手概念;小红书概念;短剧游戏;AI应用;AIGC概念;多模态AI;虚拟数字人;AI智能体;抖音概念(字节概念);文化传媒概念;拼多多概念;百度概念;数据要素;阿里巴巴概念;腾讯概念;元宇宙;鸿蒙概念;人工智能;DeepSeek概念;网红经济;华为概念,21
000798,33,000798.SZ,预制菜;人工智能;参股保险;央企国企改革;国企改革;中字头股票,6
601231,17,601231.SH,同花顺果指数;共封装光学(CPO);苹果概念;无线耳机;消费电子概念;汽车电子;WiFi 6;AI眼镜;芯片概念;5G;智能座舱;智能穿戴;新能源汽车;沪股通;融资融券;物联网;一带一路;元宇宙;医疗器械概念,19
605289,17,605289.SH,空间计算;换电概念;智慧城市;智慧灯杆;新能源汽车;DeepSeek概念;东数西算(算力);IP经济(谷子经济);人工智能;虚拟现实;元宇宙;液冷服务器;沪股通;股权转让(并购重组),14
603059,17,603059.SH,三胎概念;跨境电商;人民币贬值受益;参股银行,4
603887,17,603887.SH,算力租赁;东数西算(算力);抖音概念(字节概念);腾讯概念;阿里巴巴概念;数据中心;华为概念;液冷服务器;PPP概念;融资融券;沪股通;股权转让(并购重组),12
603629,17,603629.SH,英伟达概念;2025年报预增;小米概念;东数西算(算力);液冷服务器;消费电子概念;算力租赁;华为概念;腾讯概念;芯片概念;云计算;OLED;军工;沪股通,14
600354,17,600354.SH,玉米;粮食概念;转基因;农业种植;供销社;生态农业;乡村振兴;国企改革;西部大开发;融资融券,10
002009,33,002009.SZ,新型工业化;人形机器人;特斯拉概念;富士康概念;光伏概念;华为汽车;工业互联网;新能源汽车;比亚迪概念;机器人概念;长安汽车概念;储能;腾讯概念;汽车拆解概念;锂电池概念;垃圾分类;风电;动力电池回收;金属镍;车联网(车路协同);智能物流;无人驾驶;小金属概念;金属回收;金属钴;固废处理;无人零售;脑机接口;深股通;融资融券,30
603863,17,603863.SH,粤港澳大湾区,1
603861,17,603861.SH,柔性直流输电;特高压;智能电网;华为数字能源;光伏概念;储能;核电;宁德时代概念;新能源汽车;数据中心;一带一路;华为概念;东数西算(算力);沪股通,14
603331,17,603331.SH,TOPCON电池;共同富裕示范区;家用电器;光伏概念;新能源汽车;机器人概念;人形机器人,7
002165,33,002165.SZ,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,6
600487,17,600487.SH,共封装光学(CPO);光纤概念;特高压;柔性直流输电;液冷服务器;F5G概念;芯片概念;智能电网;风电;数据中心;5G;长三角一体化;一带一路;新能源汽车;量子科技;小米汽车;海工装备;沪股通;融资融券;华为概念;人形机器人;6G概念;机器人概念;创投;无人驾驶;网络安全;军工;DeepSeek概念;水利;太赫兹;智慧城市,31
605151,17,605151.SH,智能物流;统一大市场;创投;新能源汽车;比亚迪概念,5
002155,33,002155.SZ,金属铅;金属锌;黄金概念;小金属概念;乡村振兴;深股通;国企改革;2025年报预增;融资融券,9
601208,17,601208.SH,PCB概念;PET铜箔;光刻胶;苹果概念;柔性屏(折叠屏);OLED;消费电子概念;BC电池;芯片概念;新能源汽车;光伏概念;燃料电池;氢能源;军工;特高压;商业航天;西部大开发;2025年报预增;沪股通;融资融券,20
002830,33,002830.SZ,粤港澳大湾区;物业管理;华为概念,3
002137,33,002137.SZ,文化传媒概念;数字经济;物联网;智能家居;华为概念;区块链;粤港澳大湾区;抖音概念(字节概念);网红经济;新能源汽车;5G;人民币贬值受益;智能穿戴;汽车电子;消费电子概念;无线耳机;芯片概念;光伏概念;先进封装;深股通,20
002455,33,002455.SZ,磷化工;金属回收;石墨电极;动力电池回收;钠离子电池;锂电池概念;固态电池;宁德时代概念;储能;光刻胶;新能源汽车;深股通;融资融券,13
600330,17,600330.SH,商业航天;卫星导航;军工;毫米波雷达;PCB概念;5G;第三代半导体;无线充电;高端装备;量子科技;先进封装;芯片概念;光伏概念;汽车电子;AI眼镜;数据中心;新能源汽车;智能穿戴;OLED;锂电池概念;储能;充电桩;创投;长三角一体化;智能物流;固废处理;乡村振兴;融资融券;沪股通,29
603618,17,603618.SH,特高压;智能电网;抽水蓄能;风电;光伏概念;石墨烯;储能;PET铜箔;锂电池概念;光纤概念;新能源汽车;共同富裕示范区;5G;沪股通;融资融券,15
