code,所属概念数量,股票代码,market_code,所属概念
002624,21,002624.SZ,33,云游戏;电子竞技;手机游戏;AIGC概念;虚拟数字人;网络游戏;短剧游戏;NFT概念;元宇宙;AI智能体;文化传媒概念;鸿蒙概念;英伟达概念;虚拟现实;区块链;人工智能;IP经济(谷子经济);华为概念;AI应用;深股通;融资融券
603667,15,603667.SH,17,减速器;汽车热管理;人形机器人;特斯拉概念;大飞机;新能源汽车;高端装备;机器人概念;无人机;商业航天;军工;风电;特钢概念;沪股通;融资融券
002150,10,002150.SZ,33,光伏概念;储能;风电;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券
002921,10,002921.SZ,33,光热发电;光伏概念;燃料电池;氢能源;农机;减速器;新能源汽车;机器人概念;乡村振兴;人民币贬值受益
002943,12,002943.SZ,33,HJT电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;AI眼镜;工业母机;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券
001360,10,001360.SZ,33,黄金概念;金属回收;固废处理;一带一路;雅下水电概念;锂电池概念;高端装备;专精特新;机器视觉;融资融券
002339,31,002339.SZ,33,特高压;智能电网;虚拟电厂;电力物联网;高压快充;光伏概念;充电桩;风电;核电;换电概念;储能;绿色电力;动力电池回收;新能源汽车;碳中和;水利;机器人概念;工业互联网;地下管网;数字孪生;物联网;华为概念;车联网(车路协同);智慧城市;新型城镇化;数字经济;人工智能;网络安全;天然气;养老概念;融资融券
600759,8,600759.SH,17,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;融资融券;人民币贬值受益;沪股通
603823,4,603823.SH,17,光刻胶;PEEK材料;钠离子电池;沪股通
002009,30,002009.SZ,33,新型工业化;人形机器人;富士康概念;特斯拉概念;华为汽车;光伏概念;新能源汽车;长安汽车概念;比亚迪概念;储能;机器人概念;工业互联网;风电;垃圾分类;智能物流;腾讯概念;无人驾驶;锂电池概念;固废处理;动力电池回收;车联网(车路协同);汽车拆解概念;无人零售;脑机接口;金属回收;金属镍;小金属概念;金属钴;深股通;融资融券
002112,10,002112.SZ,33,智能电网;光伏概念;风电;核电;储能;数据中心;共同富裕示范区;国企改革;专精特新;融资融券
002412,9,002412.SZ,33,医药电商;流感;幽门螺杆菌概念;仿制药一致性评价;肝炎概念;创新药;农业种植;参股银行;融资融券
603881,14,603881.SH,17,算力租赁;腾讯概念;云计算;中国AI 50;阿里巴巴概念;百度概念;国资云;东数西算(算力);蚂蚁集团概念;数据中心;液冷服务器;国企改革;沪股通;融资融券
600814,7,600814.SH,17,国企改革;体育产业;共同富裕示范区;IP经济(谷子经济);元宇宙;MR(混合现实);沪股通
002812,15,002812.SZ,33,固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;烟草;新能源汽车;充电桩;消费电子概念;专精特新;同花顺漂亮100;西部大开发;人工智能;深股通;融资融券
603663,13,603663.SH,17,芯片概念;小金属概念;固态电池;宁德时代概念;专精特新;稀土永磁;一体化压铸;氢能源;回购增持再贷款概念;核电;海峡两岸;沪股通;融资融券
002759,10,002759.SZ,33,氟化工概念;钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券
002440,5,002440.SZ,33,染料;氟化工概念;2025年报预增;深股通;融资融券
605488,8,605488.SH,17,人形机器人;传感器;机器人概念;苹果概念;专精特新;消费电子概念;华为概念;沪股通
002772,5,002772.SZ,33,农业种植;乡村振兴;西部大开发;回购增持再贷款概念;2025年报预增
603626,20,603626.SH,17,富士康概念;特斯拉概念;AI PC;苹果概念;新型烟草(电子烟);柔性屏(折叠屏);机器人概念;智能音箱;智能穿戴;消费电子概念;无线耳机;储能;华为概念;固态电池;人民币贬值受益;虚拟现实;海峡两岸;元宇宙;沪股通;融资融券
002345,7,002345.SZ,33,黄金概念;小金属概念;培育钻石;2025年报预增;IP经济(谷子经济);NFT概念;深股通
603331,7,603331.SH,17,家用电器;共同富裕示范区;新能源汽车;光伏概念;TOPCON电池;机器人概念;人形机器人
002455,13,002455.SZ,33,石墨电极;磷化工;金属回收;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券
000767,9,000767.SZ,33,绿色电力;超超临界发电;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券
003041,5,003041.SZ,33,2025年报预增;共同富裕示范区;人民币贬值受益;一带一路;股权转让(并购重组)
002054,8,002054.SZ,33,专精特新;创投;2025年报预增;有机硅概念;参股银行;合成生物;参股券商;融资融券
002099,9,002099.SZ,33,仿制药一致性评价;肝炎概念;创新药;染料;减肥药;人民币贬值受益;生物疫苗;深股通;融资融券
603959,9,603959.SH,17,锂电池概念;燃料电池;氢能源;宁德时代概念;固态电池;新能源汽车;机器人概念;煤化工概念;摘帽
002072,1,002072.SZ,33,煤炭概念
600987,7,600987.SH,17,黄金概念;染料;回购增持再贷款概念;污水处理;共同富裕示范区;沪股通;融资融券
603616,7,603616.SH,17,地下管网;PPP概念;土壤修复;雄安新区;水利;一带一路;PEEK材料
