所属概念数量,market_code,code,所属概念,股票代码
5,17,601112,风电;新能源汽车;注册制次新股;新股与次新股;融资融券,601112.SH
6,151,920088,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ
8,33,300164,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,300164.SZ
30,33,300975,MCU芯片;存储芯片;毫米波雷达;汽车芯片;AI眼镜;芯片概念;汽车电子;无人机;消费电子概念;低空经济;物联网;飞行汽车(eVTOL);机器人概念;2025年报预增;比亚迪概念;数据中心;智能物流;东数西算(算力);新能源汽车;液冷服务器;百度概念;抖音概念(字节概念);创投;一带一路;跨境电商;海峡两岸;宁德时代概念;统一大市场;深股通;融资融券,300975.SZ
32,33,300781,小红书概念;快手概念;Sora概念(文生视频);智谱AI;短剧游戏;Web3.0;ChatGPT概念;AIGC概念;多模态AI;虚拟数字人;抖音概念(字节概念);AI智能体;NFT概念;百度概念;阿里巴巴概念;文化传媒概念;腾讯概念;蚂蚁集团概念;数据要素;元宇宙;DeepSeek概念;网红经济;人工智能;IP经济(谷子经济);MR(混合现实);华为概念;AI应用;跨境电商;粤港澳大湾区;股权转让(并购重组);融资融券;深股通,300781.SZ
7,33,300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,300191.SZ
22,33,300780,减速器;商业航天;工业母机;航空发动机;3D打印;新型工业化;军工;低空经济;军民融合;机器视觉;新能源汽车;比亚迪概念;机器人概念;专精特新;农机;工业互联网;物联网;中俄贸易概念;西部大开发;跨境电商;云计算;AIGC概念,300780.SZ
19,33,300063,小红书概念;快手概念;AI应用;AIGC概念;抖音概念(字节概念);文化传媒概念;阿里巴巴概念;百度概念;腾讯概念;网红经济;职业教育;人工智能;独角兽概念;华为概念;丙烯酸;长安汽车概念;2025年报预增;光刻胶;深股通,300063.SZ
13,33,300344,数据安全;云计算;信创;互联网金融;光伏建筑一体化;东数西算(算力);ST板块;智慧城市;数字经济;DeepSeek概念;数字孪生;人工智能;数据中心,300344.SZ
26,151,920021,先进封装;AI应用;6G概念;卫星导航;冰雪产业;体育产业;商业航天;虚拟数字人;Sora概念(文生视频);毫米波雷达;知识产权保护;足球概念;智能穿戴;芯片概念;短剧游戏;腾讯概念;文化传媒概念;融资融券;人工智能;低空经济;AIGC概念;军工;5G;军民融合;DeepSeek概念;AI智能体,920021.BJ
10,33,300139,黄金概念;民爆概念;2025年报预增;绿色电力;智能电网;一带一路;芯片概念;人民币贬值受益;深股通;融资融券,300139.SZ
4,33,300755,跨境电商;西部大开发;融资融券;深股通,300755.SZ
16,33,301500,黄金概念;金属锌;金属铜;小金属概念;金属回收;金属镍;汽车拆解概念;广东自贸区;固废处理;碳中和;2025年报预增;粤港澳大湾区;比亚迪概念;DeepSeek概念;深股通;融资融券,301500.SZ
10,17,688583,空间计算;3D打印;专精特新;大飞机;机器人概念;阿里巴巴概念;比亚迪概念;特斯拉概念;宁德时代概念;融资融券,688583.SH
28,33,300058,小红书概念;快手概念;智谱AI;短剧游戏;Web3.0;ChatGPT概念;AIGC概念;虚拟数字人;AI智能体;抖音概念(字节概念);NFT概念;在线教育;文化传媒概念;百度概念;阿里巴巴概念;元宇宙;腾讯概念;职业教育;网红经济;人工智能;DeepSeek概念;虚拟现实;华为概念;AI应用;跨境电商;创投;深股通;融资融券,300058.SZ
18,33,300157,可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;一带一路;超超临界发电;创投;氢能源;东数西算(算力);人工智能;数据中心;储能;高端装备;军工;无人机;机器人概念;融资融券,300157.SZ
7,33,300737,新型城镇化;光伏建筑一体化;商业航天;水利;海峡两岸;融资融券;深股通,300737.SZ
7,151,920471,NMN概念;基因测序;京津冀一体化;可降解塑料;环氧丙烷;融资融券;合成生物,920471.BJ
19,17,688365,小红书概念;拼多多概念;AI应用;智谱AI;ChatGPT概念;ERP概念;AIGC概念;云办公;AI智能体;抖音概念(字节概念);财税数字化;云计算;阿里巴巴概念;DeepSeek概念;人工智能;数字经济;跨境电商;沪股通;融资融券,688365.SH
5,33,300658,三胎概念;海峡两岸;福建自贸区;人民币贬值受益;股权转让(并购重组),300658.SZ
6,151,920227,抖音概念(字节概念);小红书概念;融资融券;ERP概念;拼多多概念;阿里巴巴概念,920227.BJ
