所属概念数量,code,股票代码,所属概念,market_code
36,002279,002279.SZ,小红书概念;财税数字化;ChatGPT概念;AIGC概念;快手概念;智慧政务;华为鲲鹏;数据要素;AI应用;AI智能体;数据安全;区块链;鸿蒙概念;数字乡村;百度概念;抖音概念(字节概念);文化传媒概念;信创;腾讯概念;阿里巴巴概念;职业教育;网络安全;数字经济;DeepSeek概念;人工智能;网红经济;京津冀一体化;跨境电商;智能医疗;化债概念(AMC概念);雄安新区;乡村振兴;华为概念;低空经济;数据中心(AIDC);深股通,33
23,603918,603918.SH,Web3.0;AIGC概念;AI应用;智慧政务;在线教育;数据确权;区块链;云办公;互联网金融;蚂蚁集团概念;信创;DeepSeek概念;阿里巴巴概念;抖音概念(字节概念);人工智能;智能医疗;化债概念(AMC概念);华为概念;机器人概念;机器视觉;上海自贸区;融资融券;沪股通,17
6,605068,605068.SH,新能源汽车;比亚迪概念;华为汽车;长安汽车概念;机器人概念;人形机器人,17
5,600199,600199.SH,白酒概念;啤酒概念;国企改革;融资融券;沪股通,17
10,603358,603358.SH,低空经济;飞行汽车(eVTOL);一体化压铸;特斯拉概念;人形机器人;新能源汽车;宁德时代概念;沪股通;中芯国际概念;融资融券,17
11,603400,603400.SH,机器人概念;新能源汽车;消费电子概念;人民币贬值受益;汽车电子;智能家居;充电桩;储能;锂电池概念;沪股通;融资融券,17
5,605162,605162.SH,虚拟电厂;绿色电力;碳交易;碳中和;储能,17
8,603389,603389.SH,钛白粉概念;小金属概念;稀土永磁;旅游概念;创投;智能家居;培育钻石;摘帽,17
2,002847,002847.SZ,融资融券;深股通,33
47,000948,000948.SZ,区块链;在线教育;互联网金融;NFT概念;知识产权保护;鸿蒙概念;财税数字化;智慧政务;AI应用;数字货币;移动支付;数字经济;多模态AI;AI智能体;华为鲲鹏;百度概念;数据安全;DeepSeek概念;元宇宙;信创;阿里巴巴概念;腾讯概念;智慧城市;ETC;人脸识别;人工智能;网络安全;国资云;水利;智能医疗;乡村振兴;语音技术;创投;军工信息化;碳中和;物联网;国企改革;信托概念;西部大开发;军民融合;医疗器械概念;华为概念;军工;数据中心(AIDC);机器视觉;深股通;融资融券,33
55,600850,600850.SH,华为盘古;国资云;华为鲲鹏;数据安全;智慧政务;云计算;网络安全;ChatGPT概念;多模态AI;华为昇腾;信创;AI应用;AIGC概念;AI智能体;数据要素;数字乡村;阿里巴巴概念;虚拟数字人;腾讯概念;人脸识别;短剧游戏;互联网金融;数字孪生;跨境支付(CIPS);DeepSeek概念;智慧城市;智能电网;数字经济;职业教育;人工智能;东数西算(算力);智能医疗;物联网;车联网(车路协同);工业互联网;数据中心(AIDC);水利;华为概念;低空经济;乡村振兴;核电;大飞机;国企改革;机器人概念;央企国企改革;卫星导航;新型工业化;商业航天;液冷服务器;无人驾驶;人形机器人;WiFi 6;沪股通;光刻机;融资融券,17
18,600756,600756.SH,DRG/DIP;财税数字化;在线教育;AIGC概念;智慧政务;云计算;AI智能体;养老概念;信创;国资云;数字孪生;DeepSeek概念;人工智能;工业互联网;国企改革;同花顺新质50;沪股通;融资融券,17
15,002173,002173.SZ,高压氧舱;脑机接口;华为昇腾;智能医疗;人工智能;DeepSeek概念;医疗器械概念;养老概念;医美概念;共同富裕示范区;眼科医疗;民营医院;三胎概念;深股通;融资融券,33
18,002338,002338.SZ,芯片概念;商业航天;传感器;专精特新;碳纤维;军工;军民融合;机器视觉;低空经济;工业母机;同花顺新质50;机器人概念;医疗器械概念;国企改革;证金持股;2026中报预增;深股通;融资融券,33
9,600191,600191.SH,粮食概念;代糖概念;参股券商;参股银行;西部大开发;基因测序;2026中报预增;沪股通;股权转让(并购重组),17
17,002388,002388.SZ,消费电子概念;富士康概念;有机硅概念;人形机器人;比亚迪概念;华为概念;粤港澳大湾区;无人机;新能源汽车;锂电池概念;光伏概念;固态电池;充电桩;钠离子电池;储能;氟化工概念;摘帽,33
1,603221,603221.SH,人民币贬值受益,17
17,000566,000566.SZ,猴痘概念;肝炎概念;民营医院;维生素;细胞免疫治疗;流感;海南自贸区;仿制药一致性评价;创新药;医疗器械概念;参股银行;国企改革;创投;央企国企改革;脑机接口;深股通;融资融券,33
44,002642,002642.SZ,国资云;网络安全;智慧政务;数据安全;华为鲲鹏;数字乡村;云计算;华为昇腾;AI智能体;多模态AI;数据要素;AI应用;信创;ChatGPT概念;区块链;智慧城市;电力物联网;腾讯概念;阿里巴巴概念;百度概念;车联网(车路协同);物联网;数字孪生;人工智能;DeepSeek概念;数字经济;智能医疗;星闪概念;互联网金融;虚拟现实;独角兽概念;东数西算(算力);华为概念;京津冀一体化;基因测序;工业互联网;数据中心(AIDC);华为数字能源;碳中和;乡村振兴;新型工业化;国企改革;5G;深股通,33
4,001358,001358.SZ,净水概念;碳中和;光刻胶;融资融券,33
7,002795,002795.SZ,TOPCON电池;人民币贬值受益;医疗器械概念;光伏概念;股权转让(并购重组);民营医院;BC电池,33
4,603580,603580.SH,海峡两岸;消费电子概念;人民币贬值受益;摘帽,17
13,603297,603297.SH,光刻机;芯片概念;AI眼镜;PCB概念;商业航天;机器视觉;无人驾驶;虚拟现实;无人机;智能医疗;共同富裕示范区;沪股通;融资融券,17
16,600895,600895.SH,光刻机;芯片概念;上海自贸区;新能源汽车;创投;数字乡村;蚂蚁集团概念;新型城镇化;租售同权;国企改革;乡村振兴;沪股通;融资融券;参股券商;物业管理;证金持股,17
21,600629,600629.SH,上海国企改革;装配式建筑;房屋检测;一带一路;新型城镇化;低空经济;数字孪生;人工智能;创投;水利;建筑节能;地下管网;数字经济;PPP概念;雄安新区;乡村振兴;参股券商;国企改革;碳中和;融资融券;沪股通,17
22,000779,000779.SZ,新型城镇化;房屋检测;乡村振兴;污水处理;新疆振兴;土壤修复;建筑节能;水利;数字经济;数据要素;国企改革;AI应用;西部大开发;DeepSeek概念;国资云;人工智能;一带一路;数字孪生;低空经济;抽水蓄能;数据中心(AIDC);光伏概念,33
21,000533,000533.SZ,百度概念;智能电网;阿里巴巴概念;东数西算(算力);抽水蓄能;数字经济;风电;充电桩;数据中心(AIDC);超超临界发电;水利;核电;储能;海工装备;光伏概念;粤港澳大湾区;可控核聚变;比亚迪概念;中芯国际概念;深股通;融资融券,33
18,600775,600775.SH,脑机接口;智慧城市;人工智能;工业互联网;军工;东数西算(算力);无人机;卫星导航;机器人概念;储能;商业航天;新型工业化;央企国企改革;国企改革;汽车电子;消费电子概念;沪股通;融资融券,17
18,600619,600619.SH,光刻机;上海自贸区;汽车热管理;比亚迪概念;空气能热泵;新能源汽车;上海国企改革;芯片概念;家用电器;小米概念;一带一路;储能;高压快充;冷链物流;国企改革;2026中报预增;沪股通;融资融券,17
29,002195,002195.SZ,AI语料;AIGC概念;AI应用;百度概念;区块链;脑机接口;AI智能体;多模态AI;阿里巴巴概念;元宇宙;鸿蒙概念;腾讯概念;短剧游戏;DeepSeek概念;人工智能;网络安全;云计算;智能医疗;网络游戏;创投;华为概念;机器人概念;无人驾驶;人形机器人;数据中心(AIDC);AI PC;融资融券;深股通;可控核聚变,33
9,603980,603980.SH,染料;医疗器械概念;有机硅概念;家用电器;阿尔茨海默概念;仿制药一致性评价;创新药;2026中报预增;股权转让(并购重组),17
22,002889,002889.SZ,冷链物流;跨境电商;冰雪产业;智能物流;自由贸易港;数字经济;一带一路;统一大市场;人工智能;DeepSeek概念;区块链;互联网金融;航运概念;广东自贸区;机器人概念;粤港澳大湾区;生物疫苗;特斯拉概念;华为概念;光刻机;2026中报预增;深股通,33
25,002995,002995.SZ,快手概念;小红书概念;拼多多概念;短剧游戏;Web3.0;云办公;财税数字化;文化传媒概念;AIGC概念;虚拟数字人;抖音概念(字节概念);百度概念;腾讯概念;AI应用;IP经济(谷子经济);阿里巴巴概念;AI智能体;区块链;元宇宙;数字经济;DeepSeek概念;京津冀一体化;人工智能;预制菜;虚拟现实,33
13,002082,002082.SZ,仿制药一致性评价;创新药;阿尔茨海默概念;生物疫苗;流感;肝炎概念;医药电商;ST板块;医疗器械概念;共同富裕示范区;一带一路;2026一季报预增;2026中报预增,33
7,605179,605179.SH,乳业;三胎概念;冷链物流;乡村振兴;共同富裕示范区;长三角一体化;沪股通,17
18,603716,603716.SH,细胞免疫治疗;创新药;生物疫苗;智能医疗;养老概念;DRG/DIP;医疗器械概念;脑机接口;AI应用;鸿蒙概念;DeepSeek概念;人工智能;固废处理;数据安全;网络安全;信创;华为概念;沪股通,17
4,603429,603429.SH,ST板块;烟草;新型烟草(电子烟);储能,22
25,002869,002869.SZ,ETC;数据要素;数字孪生;鸿蒙概念;智慧城市;百度概念;数字经济;车联网(车路协同);智慧灯杆;人工智能;低空经济;物联网;华为概念;无人驾驶;长安汽车概念;虚拟电厂;机器人概念;粤港澳大湾区;智能座舱;专精特新;新能源汽车;汽车电子;毫米波雷达;深股通;融资融券,33
6,603917,603917.SH,长三角一体化;新能源汽车;比亚迪概念;小米汽车;一体化压铸;宁德时代概念,17
15,000503,000503.SZ,家庭医生;养老概念;数据确权;数字经济;DRG/DIP;数据要素;AI应用;人工智能;智能医疗;国企改革;AI智能体;央企国企改革;华为概念;深股通;融资融券,33
11,003032,003032.SZ,机器人概念;人形机器人;华为概念;职业教育;鸿蒙概念;在线教育;阿里巴巴概念;ChatGPT概念;智谱AI;短剧游戏;摘帽,33
13,600693,600693.SH,免税店;统一大市场;IP经济(谷子经济);物业管理;旅游概念;冷链物流;跨境电商;福建自贸区;数字经济;阿里巴巴概念;海峡两岸;沪股通;融资融券,17
2,001376,001376.SZ,碳中和;深股通,33
1,002687,002687.SZ,创投,33
18,002310,002310.SZ,股权转让(并购重组);生态农业;绿色电力;土壤修复;风电;PPP概念;固废处理;乡村振兴;京津冀一体化;雄安新区;汽车拆解概念;国企改革;储能;污水处理;新型城镇化;水利;金属回收;深股通,33
16,002387,002387.SZ,MicroLED概念;柔性屏(折叠屏);智能穿戴;虚拟现实;小米概念;消费电子概念;汽车电子;OLED;人脸识别;芯片概念;华为手机;绿色电力;深股通;玻璃基板;股权转让(并购重组);融资融券,33
4,000659,000659.SZ,啤酒概念;横琴新区;粤港澳大湾区;深股通,33
14,000909,000909.SZ,ST板块;物业管理;国企改革;共同富裕示范区;换电概念;智慧城市;智慧政务;云办公;充电桩;元宇宙;车联网(车路协同);无人驾驶;5G;消费电子概念,33
7,600076,600076.SH,土地流转;乡村振兴;国企改革;碳中和;芯片概念;碳交易;融资融券,17
6,000428,000428.SZ,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,33
29,300369,300369.SZ,数据安全;网络安全;MLOps概念;云计算;华为鲲鹏;华为欧拉;信创;智慧政务;国产操作系统;AI语料;数字水印;数据确权;腾讯概念;东数西算(算力);阿里巴巴概念;AI智能体;数据要素;区块链;AI应用;车联网(车路协同);DeepSeek概念;数据中心(AIDC);人工智能;独角兽概念;华为概念;工业互联网;京津冀一体化;深股通;融资融券,33
3,300906,300906.SZ,高铁;专精特新;融资融券,33
7,920693,920693.BJ,液冷服务器;机器人概念;融资融券;专精特新;芯片概念;医疗器械概念;人民币贬值受益,151
11,688697,688697.SH,工业母机;人形机器人;新型工业化;高端装备;机器人概念;新能源汽车;大飞机;低空经济;长三角一体化;融资融券;沪股通,17
7,000639,000639.SZ,NMN概念;ST板块;网红经济;维生素;体育产业;跨境电商;阿里巴巴概念,33
29,300546,300546.SZ,电子身份证;数字货币;移动支付;区块链;蚂蚁集团概念;人脸识别;智慧政务;数据安全;华为鲲鹏;鸿蒙概念;信创;数据要素;网络安全;智慧城市;数字经济;人工智能;DeepSeek概念;车联网(车路协同);腾讯概念;网约车;云计算;粤港澳大湾区;专精特新;智能物流;量子科技;数字孪生;机器人概念;一带一路;深股通,33
10,600846,600846.SH,房屋检测;垃圾分类;污水处理;装配式建筑;PPP概念;雄安新区;建筑节能;国企改革;沪股通;融资融券,17
10,002647,002647.SZ,东数西算(算力);云计算;移动支付;跨境支付(CIPS);区块链;芯片概念;数字货币;互联网金融;深股通;摘帽,33
25,300465,300465.SZ,Web3.0;ChatGPT概念;信创;AI智能体;移动支付;数据要素;跨境支付(CIPS);数字货币;数据安全;区块链;人工智能;DeepSeek概念;蚂蚁集团概念;文化传媒概念;腾讯概念;抖音概念(字节概念);物联网;华为概念;化债概念(AMC概念);比亚迪概念;东数西算(算力);数据中心(AIDC);芯片概念;量子科技;深股通,33
17,300897,300897.SZ,传感器;华为概念;物联网;水利;工业互联网;污水处理;数据要素;专精特新;智慧城市;人工智能;地下管网;净水概念;DeepSeek概念;AI应用;数字孪生;股权转让(并购重组);融资融券,33
6,603193,603193.SH,IP经济(谷子经济);三胎概念;跨境电商;C2M概念;沪股通;融资融券,17
37,300825,300825.SZ,数字孪生;智谱AI;多模态AI;新型工业化;数据要素;AI智能体;车联网(车路协同);数字经济;人工智能;低空经济;汽车芯片;芯片概念;虚拟现实;DeepSeek概念;机器人概念;无人驾驶;减速器;人形机器人;华为概念;智能物流;京津冀一体化;换电概念;农机;英伟达概念;智能座舱;东数西算(算力);汽车电子;比亚迪概念;长安汽车概念;飞行汽车(eVTOL);新能源汽车;算力租赁;乡村振兴;华为汽车;燃料电池;融资融券;深股通,33
17,002860,002860.SZ,HJT电池;TOPCON电池;光伏概念;传感器;5G;军民融合;比亚迪概念;无人机;新能源汽车;家用电器;光伏建筑一体化;储能;ETC;数据中心(AIDC);垃圾分类;共同富裕示范区;融资融券,33
8,301295,301295.SZ,专精特新;智能家居;光伏概念;智能电网;新能源汽车;小米概念;汽车电子;融资融券,33
42,300678,300678.SZ,AIGC概念;AI应用;智慧政务;数据要素;AI智能体;华为鲲鹏;多模态AI;数字经济;DeepSeek概念;信创;数据安全;人工智能;智慧城市;阿里巴巴概念;网络安全;智能医疗;人脸识别;脑机接口;烟草;安防;物联网;工业互联网;低空经济;华为概念;机器人概念;新型工业化;医疗器械概念;军工;机器视觉;西部大开发;国企改革;无人驾驶;专精特新;数据中心(AIDC);比亚迪概念;智能穿戴;锂电池概念;新型烟草(电子烟);玻璃基板;融资融券;深股通;中字头股票,33
33,603118,603118.SH,F5G概念;WiFi 6;共封装光学(CPO);6G概念;华为海思概念股;5G;汽车芯片;芯片概念;PCB概念;数据中心(AIDC);先进封装;传感器;汽车电子;东数西算(算力);毫米波雷达;华为概念;物联网;粤港澳大湾区;无人驾驶;充电桩;虚拟现实;网络安全;智能座舱;智能家居;人民币贬值受益;机器人概念;工业互联网;基因测序;智能医疗;国企改革;沪股通;股权转让(并购重组);融资融券,17
8,603567,603567.SH,流感;智能医疗;医药电商;仿制药一致性评价;黑龙江自贸区;创新药;沪股通;融资融券,17
10,300295,300295.SZ,数据要素;ST板块;养老概念;人工智能;AI应用;AI智能体;互联网金融;文化传媒概念;DeepSeek概念;租售同权,33
6,300765,300765.SZ,减肥药;创新药;生物疫苗;维生素;融资融券;深股通,33
6,688660,688660.SH,海工装备;风电;上海国企改革;国企改革;融资融券;沪股通,17
21,603803,603803.SH,F5G概念;共封装光学(CPO);6G概念;WiFi 6;数据中心(AIDC);5G;东数西算(算力);量子科技;智能电网;网络安全;芯片概念;数据安全;新型工业化;物联网;无人驾驶;工业互联网;智慧城市;车联网(车路协同);新型城镇化;沪股通;融资融券,17
13,688626,688626.SH,脑机接口;AI智能体;AI应用;DeepSeek概念;人工智能;智能医疗;机器人概念;养老概念;专精特新;医疗器械概念;旅游概念;沪股通;融资融券,17
14,301110,301110.SZ,小红书概念;抖音概念(字节概念);阿里巴巴概念;数据要素;AI应用;AI智能体;跨境电商;人工智能;三胎概念;宠物经济;2026一季报预增;2026中报预增;深股通;融资融券,33
20,920953,920953.BJ,AI应用;华为鲲鹏;信创;云计算;在线教育;人脸识别;智能物流;机器人概念;智慧政务;数据要素;物联网;融资融券;AIGC概念;DeepSeek概念;数据安全;人工智能;鸿蒙概念;数字经济;AI智能体;华为昇腾,151
28,600415,600415.SH,IP经济(谷子经济);网红经济;超级品牌;统一大市场;跨境电商;参股券商;虚拟数字人;AI应用;跨境支付(CIPS);阿里巴巴概念;DeepSeek概念;数字货币;数据要素;互联网金融;绿色电力;中俄贸易概念;人工智能;共同富裕示范区;国企改革;数字经济;移动支付;同花顺中特估100;一带一路;同花顺出海50;数据中心(AIDC);沪股通;融资融券;航运概念,17
9,300972,300972.SZ,农业种植;乳业;土地流转;IP经济(谷子经济);乡村振兴;海峡两岸;股权转让(并购重组);深股通;融资融券,33
4,002891,002891.SZ,宠物经济;人民币贬值受益;融资融券;深股通,33
