股票代码,market_code,code,所属概念数量,所属概念
002755.SZ,33,002755,7,创新药;仿制药一致性评价;幽门螺杆菌概念;流感;医药电商;融资融券;深股通
000790.SZ,33,000790,12,流感;医药电商;合成生物;装配式建筑;医美概念;创新药;眼科医疗;医疗器械概念;西部大开发;锂电池概念;氟化工概念;融资融券
000788.SZ,33,000788,10,仿制药一致性评价;创新药;医药电商;流感;民营医院;冷链物流;医疗器械概念;西部大开发;京津冀一体化;股权转让(并购重组)
300539.SZ,33,300539,14,专精特新;减速器;比亚迪概念;PEEK材料;华为汽车;机器人概念;无人机;智能座舱;家用电器;小米概念;新能源汽车;华为概念;智能家居;深股通
603089.SH,17,603089,5,人民币贬值受益;机器人概念;专精特新;新能源汽车;比亚迪概念
301103.SZ,33,301103,14,民营医院;跨境电商;合成生物;乡村振兴;眼科医疗;智能医疗;雄安新区;基因测序;细胞免疫治疗;医药电商;创新药;DeepSeek概念;ChatGPT概念;融资融券
600722.SH,17,600722,6,煤化工概念;国企改革;京津冀一体化;风电;融资融券;沪股通
301305.SZ,33,301305,15,生物质能发电;绿色电力;碳交易;固废处理;碳中和;可降解塑料;三胎概念;粤港澳大湾区;合成生物;垃圾分类;创新药;PPP概念;人工智能;深股通;融资融券
920475.BJ,151,920475,10,一带一路;虚拟现实;数字孪生;金属铜;智能物流;AIGC概念;融资融券;机器人概念;无人驾驶;专精特新
003025.SZ,33,003025,10,新型工业化;工业母机;机器人概念;一体化压铸;专精特新;工业互联网;数字经济;高端装备;军工;新能源汽车
300605.SZ,33,300605,36,智慧政务;华为鲲鹏;数字乡村;AIGC概念;虚拟数字人;数据要素;数据安全;在线教育;AI应用;AI视频;云办公;AI智能体;国产操作系统;鸿蒙概念;人脸识别;网络安全;语音技术;智慧城市;腾讯概念;DeepSeek概念;人工智能;水利;智能医疗;乡村振兴;新型城镇化;养老概念;体育产业;东数西算(算力);福建自贸区;华为概念;无人机;海峡两岸;卫星导航;数据中心(AIDC);机器视觉;眼科医疗
000402.SZ,33,000402,11,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;证金持股;碳中和;深股通;融资融券
600137.SH,17,600137,1,西部大开发
601567.SH,17,601567,20,电力物联网;AI应用;高压氧舱;智能电网;脑机接口;人工智能;智能医疗;充电桩;工业互联网;数据中心(AIDC);风电;储能;养老概念;一带一路;参股银行;三胎概念;光伏概念;民营医院;沪股通;融资融券
603719.SH,17,603719,6,乳业;网红经济;三胎概念;IP经济(谷子经济);沪股通;融资融券
688687.SH,17,688687,5,重组蛋白;肝炎概念;创新药;仿制药一致性评价;融资融券
300633.SZ,33,300633,7,宠物经济;智能医疗;医疗器械概念;中俄贸易概念;人工智能;融资融券;深股通
300805.SZ,33,300805,9,AIGC概念;拼多多概念;AI应用;AI智能体;阿里巴巴概念;跨境电商;网约车;华为概念;新能源汽车
600611.SH,17,600611,15,网约车;百度概念;云计算;算力租赁;互联网金融;无人驾驶;低空经济;东数西算(算力);旅游概念;数据中心(AIDC);创投;参股券商;物业管理;沪股通;融资融券
000953.SZ,33,000953,6,化肥;维生素;西部大开发;CRO概念;海峡两岸;股权转让(并购重组)
605388.SH,17,605388,5,幽门螺杆菌概念;乳业;跨境电商;三胎概念;白酒概念
000031.SZ,33,000031,8,物业管理;新型城镇化;国企改革;证金持股;央企国企改革;粤港澳大湾区;深股通;融资融券
600117.SH,17,600117,8,特钢概念;西部大开发;雅下水电概念;煤炭概念;海工装备;军工;商业航天;沪股通
600719.SH,17,600719,1,国企改革
920751.BJ,151,920751,5,股权转让(并购重组);氢能源;专精特新;燃料电池;融资融券
002198.SZ,33,002198,6,ST板块;仿制药一致性评价;创新药;医药电商;流感;医疗器械概念
603918.SH,17,603918,23,Web3.0;AIGC概念;AI应用;智慧政务;在线教育;数据确权;区块链;云办公;互联网金融;蚂蚁集团概念;信创;DeepSeek概念;阿里巴巴概念;抖音概念(字节概念);人工智能;智能医疗;化债概念(AMC概念);华为概念;机器人概念;机器视觉;上海自贸区;融资融券;沪股通
600715.SH,17,600715,10,网络游戏;NFT概念;短剧游戏;手机游戏;文化传媒概念;国企改革;AI应用;虚拟现实;沪股通;股权转让(并购重组)
001233.SZ,33,001233,11,注册制次新股;海峡两岸;人民币贬值受益;中俄贸易概念;一带一路;专精特新;高端装备;俄乌冲突概念;深股通;新股与次新股;融资融券
688315.SH,17,688315,7,基因测序;AI应用;医疗器械概念;量子科技;智能医疗;沪股通;融资融券
300960.SZ,33,300960,8,高铁;电力物联网;充电桩;储能;绿色电力;芯片概念;超级电容;融资融券
601366.SH,17,601366,9,预制菜;统一大市场;冷链物流;乡村振兴;跨境电商;智能物流;腾讯概念;抖音概念(字节概念);华为概念
600853.SH,17,600853,18,冰雪产业;体育产业;新型城镇化;旅游概念;雅下水电概念;农村电商;乡村振兴;PPP概念;生态农业;黑龙江自贸区;地下管网;一带一路;水利;国企改革;创投;智慧城市;商业航天;抽水蓄能
300651.SZ,33,300651,2,足球概念;体育产业
603583.SH,17,603583,12,长安汽车概念;人形机器人;机器人概念;养老概念;智能家居;医疗器械概念;人民币贬值受益;一带一路;三胎概念;光伏概念;融资融券;沪股通
002321.SZ,33,002321,8,养鸡;预制菜;土地流转;农村电商;乡村振兴;食品安全;区块链;深股通
601086.SH,17,601086,5,IP经济(谷子经济);参股券商;西部大开发;家用电器;沪股通
603028.SH,17,603028,13,专精特新;机器人概念;创投;海工装备;人形机器人;AI应用;光伏建筑一体化;光伏概念;国企改革;特钢概念;TOPCON电池;风电;细胞免疫治疗
600266.SH,17,600266,11,参股券商;新型城镇化;国企改革;旅游概念;京津冀一体化;创投;时空大数据;卫星导航;商业航天;沪股通;融资融券
600651.SH,17,600651,16,上海国企改革;水利;医疗器械概念;国企改革;工业互联网;网络安全;小米汽车;核电;新能源汽车;比亚迪概念;特斯拉概念;小米概念;汽车电子;芯片概念;融资融券;沪股通
688095.SH,17,688095,12,AIGC概念;智慧政务;AI应用;信创;鸿蒙概念;DeepSeek概念;人工智能;福建自贸区;海峡两岸;人民币贬值受益;沪股通;融资融券
920471.BJ,151,920471,7,基因测序;NMN概念;环氧丙烷;融资融券;合成生物;京津冀一体化;可降解塑料
300034.SZ,33,300034,13,大飞机;航空发动机;军民融合;军工;商业航天;核电;3D打印;央企国企改革;京津冀一体化;特钢概念;国企改革;融资融券;深股通
000799.SZ,33,000799,5,白酒概念;国企改革;央企国企改革;深股通;融资融券
300653.SZ,33,300653,8,辅助生殖;合成生物;重组蛋白;医疗器械概念;牙科医疗;专精特新;3D打印;融资融券
002482.SZ,33,002482,10,装配式建筑;国企改革;新型城镇化;建筑节能;深圳国企改革;光伏建筑一体化;智能家居;DeepSeek概念;粤港澳大湾区;深股通
300465.SZ,33,300465,25,Web3.0;ChatGPT概念;信创;AI智能体;移动支付;数据要素;跨境支付(CIPS);数字货币;数据安全;区块链;人工智能;DeepSeek概念;蚂蚁集团概念;文化传媒概念;腾讯概念;抖音概念(字节概念);物联网;华为概念;化债概念(AMC概念);比亚迪概念;东数西算(算力);数据中心(AIDC);芯片概念;量子科技;深股通
001202.SZ,33,001202,5,一带一路;统一大市场;粤港澳大湾区;新疆振兴;航运概念
920110.BJ,151,920110,4,融资融券;智能家居;横琴新区;专精特新
688443.SH,17,688443,4,创新药;西部大开发;沪股通;融资融券
603311.SH,17,603311,6,PM2.5;新能源汽车;家用电器;专精特新;大飞机;人民币贬值受益
002995.SZ,33,002995,25,快手概念;小红书概念;拼多多概念;短剧游戏;Web3.0;云办公;财税数字化;文化传媒概念;AIGC概念;虚拟数字人;抖音概念(字节概念);百度概念;腾讯概念;AI应用;IP经济(谷子经济);阿里巴巴概念;AI智能体;区块链;元宇宙;数字经济;DeepSeek概念;京津冀一体化;人工智能;预制菜;虚拟现实
300851.SZ,33,300851,3,高铁;比亚迪概念;无人驾驶
600267.SH,17,600267,16,仿制药一致性评价;医药电商;创新药;减肥药;阿尔茨海默概念;流感;动物疫苗;合成生物;青蒿素;医美概念;宠物经济;智能医疗;国企改革;DeepSeek概念;融资融券;沪股通
301052.SZ,33,301052,11,AIGC概念;AI应用;数据要素;文化传媒概念;元宇宙;数字经济;人工智能;IP经济(谷子经济);网红经济;三胎概念;融资融券
920429.BJ,151,920429,11,军民融合;人工智能;AI应用;预制菜;职业教育;体育产业;京津冀一体化;网红经济;数字经济;融资融券;DeepSeek概念
600791.SH,17,600791,2,国企改革;京津冀一体化
688759.SH,17,688759,7,细胞免疫治疗;减肥药;创新药;注册制次新股;科创次新股;新股与次新股;融资融券
600606.SH,17,600606,17,特色小镇;物业管理;旅游概念;养老概念;新型城镇化;参股银行;PPP概念;煤炭概念;互联网金融;碳交易;一带一路;蚂蚁集团概念;独角兽概念;智慧城市;元宇宙;沪股通;融资融券
601595.SH,17,601595,9,上海国企改革;IP经济(谷子经济);网络游戏;手机游戏;文化传媒概念;乡村振兴;国企改革;抖音概念(字节概念);沪股通
002935.SZ,33,002935,17,军民融合;军工信息化;卫星导航;军工;商业航天;量子科技;芯片概念;华为概念;医疗器械概念;西部大开发;智能穿戴;央企国企改革;存储芯片;国企改革;消费电子概念;融资融券;深股通
002278.SZ,33,002278,17,可燃冰;页岩气;天然气;俄乌冲突概念;中俄贸易概念;AI应用;海工装备;人工智能;一带一路;两轮车;高端装备;商业航天;无人机;氢能源;碳纤维;机器人概念;专精特新
002938.SZ,33,002938,24,同花顺果指数;AI PC;PCB概念;富士康概念;共封装光学(CPO);MiniLED;苹果概念;汽车电子;AI手机;智能座舱;消费电子概念;AI眼镜;无线耳机;智能穿戴;人形机器人;无人驾驶;虚拟现实;华为概念;商业航天;新能源汽车;海峡两岸;人民币贬值受益;融资融券;深股通
301522.SZ,33,301522,14,航空发动机;军民融合;军工;商业航天;高端装备;核电;可控核聚变;专精特新;金属回收;特钢概念;京津冀一体化;芯片概念;深股通;融资融券
920089.BJ,151,920089,7,碳纤维;家用电器;3D打印;融资融券;小米概念;比亚迪概念;小米汽车
300990.SZ,33,300990,13,光刻机;液冷服务器;芯片概念;数据中心(AIDC);宁德时代概念;专精特新;新能源汽车;高端装备;储能;换电概念;氢能源;深股通;融资融券
300510.SZ,33,300510,19,虚拟电厂;区块链;换电概念;智能电网;物联网;充电桩;中俄贸易概念;储能;智能物流;柔性直流输电;光伏概念;特高压;高压快充;机器人概念;国企改革;专精特新;锂电池概念;新型工业化;新能源汽车
000795.SZ,33,000795,17,稀土永磁;新能源汽车;比亚迪概念;专精特新;小金属概念;消费电子概念;苹果概念;新型工业化;机器人概念;人形机器人;无线耳机;减速器;医疗器械概念;养老概念;风电;深股通;融资融券
600353.SH,17,600353,24,光刻机;第三代半导体;先进封装;可控核聚变;5G;特高压;柔性直流输电;核电;航空发动机;东数西算(算力);无人机;军工;智能电网;无人驾驶;军民融合;人形机器人;风电;智慧城市;虚拟电厂;信创;西部大开发;DeepSeek概念;沪股通;融资融券
003042.SZ,33,003042,4,草甘膦;供销社;乡村振兴;中俄贸易概念
605287.SH,17,605287,11,AI视频;虚拟现实;AIGC概念;AI应用;装配式建筑;新型城镇化;短剧游戏;文化传媒概念;光伏建筑一体化;乡村振兴;沪股通
603888.SH,17,603888,28,知识产权保护;AI视频;虚拟数字人;AI语料;在线教育;AIGC概念;文化传媒概念;Web3.0;AI应用;元宇宙;数据确权;多模态AI;数据要素;AI智能体;数字经济;区块链;DeepSeek概念;京津冀一体化;人工智能;阿里巴巴概念;云计算;数据安全;网络安全;乡村振兴;创投;国企改革;沪股通;融资融券
300575.SZ,33,300575,2,人民币贬值受益;创新药
600416.SH,17,600416,18,军民融合;无人机;低空经济;军工;无人驾驶;高端装备;商业航天;高铁;工业互联网;核电;水利;储能;风电;稀土永磁;国企改革;抽水蓄能;沪股通;融资融券
301311.SZ,33,301311,19,烟草;智能物流;人工智能;军工;成飞概念;数字孪生;西部大开发;机器人概念;专精特新;国企改革;新型工业化;统一大市场;比亚迪概念;华为概念;央企国企改革;储能;中船系;深股通;融资融券
300983.SZ,33,300983,3,新型城镇化;深股通;融资融券
301656.SZ,33,301656,8,注册制次新股;减速器;小米汽车;新能源汽车;小米概念;深股通;新股与次新股;融资融券
301126.SZ,33,301126,11,民营医院;辅助生殖;维生素;流感;医疗器械概念;医美概念;无人零售;医药电商;物业管理;创新药;融资融券
002715.SZ,33,002715,4,创投;新能源汽车;比亚迪概念;黄金概念
002313.SZ,33,002313,28,智慧灯杆;智慧城市;东数西算(算力);阿里巴巴概念;物联网;数据中心(AIDC);车联网(车路协同);DeepSeek概念;华为概念;人工智能;工业互联网;粤港澳大湾区;充电桩;智能家居;新疆振兴;储能;液冷服务器;机器人概念;小米概念;无人机;5G;卫星导航;比亚迪概念;国企改革;无人驾驶;智能座舱;汽车电子;股权转让(并购重组)
300036.SZ,33,300036,43,华为欧拉;空间计算;多模态AI;华为鲲鹏;智慧政务;数据要素;AI应用;AIGC概念;元宇宙;信创;AI智能体;鸿蒙概念;数字孪生;Web3.0;时空大数据;华为昇腾;军工信息化;车联网(车路协同);阿里巴巴概念;智慧城市;数字经济;区块链;腾讯概念;DeepSeek概念;人工智能;虚拟现实;低空经济;华为概念;水利;无人驾驶;卫星导航;无人机;军工;智能电网;商业航天;MR(混合现实);地下管网;土壤修复;乡村振兴;英伟达概念;雅下水电概念;深股通;融资融券
920415.BJ,151,920415,18,AI应用;飞行汽车(eVTOL);鸿蒙概念;车联网(车路协同);数字经济;股权转让(并购重组);阿里巴巴概念;融资融券;百度概念;拼多多概念;卫星导航;信创;互联网金融;抖音概念(字节概念);人工智能;DeepSeek概念;低空经济;AI智能体
002985.SZ,33,002985,14,军民融合;大飞机;成飞概念;低空经济;军工;京津冀一体化;无人机;高铁;高端装备;卫星导航;商业航天;芯片概念;融资融券;深股通
603601.SH,17,603601,15,大飞机;商业航天;核污染防治;特斯拉概念;PM2.5;核电;新能源汽车;家用电器;宁德时代概念;芯片概念;建筑节能;西部大开发;中芯国际概念;沪股通;融资融券
000592.SZ,33,000592,9,福建自贸区;民营医院;海峡两岸;乡村振兴;旅游概念;合成生物;化肥;深股通;融资融券
688036.SH,17,688036,16,语音技术;人工智能;国产操作系统;DeepSeek概念;AI智能体;人民币贬值受益;储能;智能穿戴;AI眼镜;AI手机;MLOps概念;消费电子概念;同花顺漂亮100;AI PC;沪股通;融资融券
002422.SZ,33,002422,12,毛发医疗;创新药;仿制药一致性评价;医药电商;肝炎概念;流感;幽门螺杆菌概念;合成生物;医疗器械概念;西部大开发;深股通;融资融券
301586.SZ,33,301586,8,军民融合;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);参股银行;融资融券
301167.SZ,33,301167,16,装配式建筑;建筑节能;新型城镇化;房屋检测;地下管网;乡村振兴;智慧城市;数字孪生;国企改革;换电概念;光伏建筑一体化;储能;充电桩;可控核聚变;虚拟电厂;融资融券
002205.SZ,33,002205,13,装配式建筑;新型城镇化;地下管网;水利;雄安新区;PPP概念;污水处理;新疆振兴;西部大开发;高铁;国企改革;央企国企改革;风电
300111.SZ,33,300111,4,幽门螺杆菌概念;流感;深股通;股权转让(并购重组)
002309.SZ,33,002309,22,光伏建筑一体化;绿色电力;TOPCON电池;碳中和;风电;国企改革;海工装备;钙钛矿电池;高铁;一带一路;智能电网;充电桩;光伏概念;储能;军民融合;军工;锂电池概念;深股通;华为概念;新能源汽车;5G;比亚迪概念
002646.SZ,33,002646,7,白酒概念;粮食概念;乡村振兴;西部大开发;虚拟数字人;融资融券;深股通
603392.SH,17,603392,10,生物疫苗;猴痘概念;流感;幽门螺杆菌概念;创新药;智能医疗;DeepSeek概念;同花顺漂亮100;融资融券;沪股通
688626.SH,17,688626,13,脑机接口;AI智能体;AI应用;DeepSeek概念;人工智能;智能医疗;机器人概念;养老概念;专精特新;医疗器械概念;旅游概念;沪股通;融资融券
300275.SZ,33,300275,38,华为欧拉;华为盘古;鸿蒙概念;ChatGPT概念;星闪概念;华为鲲鹏;数据安全;多模态AI;智慧城市;数据要素;新型工业化;物联网;AI智能体;AI应用;数字经济;AIGC概念;无人驾驶;人工智能;DeepSeek概念;传感器;卫星导航;工业互联网;阿里巴巴概念;低空经济;机器人概念;华为概念;中俄贸易概念;商业航天;军工;污水处理;PPP概念;毫米波雷达;专精特新;核电;乡村振兴;西部大开发;F5G概念;超级电容
000970.SZ,33,000970,10,稀土永磁;机器人概念;新能源汽车;苹果概念;人民币贬值受益;国企改革;小金属概念;深股通;融资融券;中字头股票
002183.SZ,33,002183,39,卫星导航;5G;商业航天;数据中心(AIDC);消费电子概念;东数西算(算力);充电桩;无人机;华为概念;新能源汽车;低空经济;储能;粤港澳大湾区;信创;芯片概念;国产操作系统;云计算;智能物流;华为鲲鹏;鸿蒙概念;人工智能;DeepSeek概念;一带一路;深圳国企改革;创投;金属回收;锂电池概念;存储芯片;统一大市场;智能医疗;跨境支付(CIPS);冷链物流;国企改革;物业管理;乳业;医药电商;白酒概念;深股通;融资融券
002969.SZ,33,002969,4,海峡两岸;啤酒概念;深股通;股权转让(并购重组)
002702.SZ,33,002702,5,网红经济;预制菜;人造肉;福建自贸区;海峡两岸
601865.SH,17,601865,5,光伏概念;一带一路;长三角一体化;融资融券;沪股通
002022.SZ,33,002022,7,猴痘概念;流感;宠物经济;肝炎概念;医疗器械概念;食品安全;智能医疗
300030.SZ,33,300030,12,家庭医生;智能医疗;医疗器械概念;细胞免疫治疗;数据要素;人工智能;DeepSeek概念;横琴新区;云计算;PPP概念;粤港澳大湾区;国企改革
600448.SH,17,600448,6,工业大麻;C2M概念;参股银行;国企改革;人民币贬值受益;融资融券
920027.BJ,151,920027,6,数字经济;水利;专精特新;融资融券;高铁;西部大开发
300318.SZ,33,300318,8,猴痘概念;肝炎概念;流感;生物疫苗;三胎概念;医疗器械概念;京津冀一体化;深股通
002624.SZ,33,002624,21,云游戏;手机游戏;NFT概念;电子竞技;网络游戏;元宇宙;AIGC概念;区块链;虚拟数字人;短剧游戏;AI应用;AI智能体;鸿蒙概念;IP经济(谷子经济);文化传媒概念;虚拟现实;人工智能;华为概念;英伟达概念;深股通;融资融券
920496.BJ,151,920496,15,数据中心(AIDC);虚拟电厂;充电桩;光伏概念;数字孪生;人工智能;智能电网;一带一路;电力物联网;专精特新;储能;华为概念;融资融券;机器人概念;华为鲲鹏
300407.SZ,33,300407,14,高铁;智慧城市;职业教育;专精特新;信创;机器人概念;垃圾分类;智能电网;一带一路;人民币贬值受益;雄安新区;京津冀一体化;无人驾驶;充电桩
600805.SH,17,600805,24,统一大市场;乡村振兴;国企改革;垃圾分类;碳交易;碳中和;光伏建筑一体化;农机;绿色电力;氢能源;钠离子电池;时空大数据;超超临界发电;锂电池概念;风电;储能;虚拟电厂;机器人概念;高端装备;新能源汽车;无人驾驶;光伏概念;工业母机;融资融券
002640.SZ,33,002640,9,拼多多概念;互联网金融;数字经济;网红经济;跨境电商;三胎概念;人民币贬值受益;无线耳机;深股通
603232.SH,17,603232,34,云办公;数字货币;电子身份证;数据安全;华为鲲鹏;网络安全;信创;云计算;智慧政务;AI应用;鸿蒙概念;移动支付;Web3.0;阿里巴巴概念;区块链;百度概念;AI智能体;量子科技;DeepSeek概念;人工智能;智慧城市;车联网(车路协同);华为概念;一带一路;军工信息化;新疆振兴;低空经济;无人机;军工;专精特新;MCU芯片;汽车芯片;芯片概念;沪股通
300148.SZ,33,300148,12,职业教育;AI应用;虚拟数字人;区块链;文化传媒概念;网络游戏;人工智能;手机游戏;IP经济(谷子经济);创投;云游戏;虚拟现实
920701.BJ,151,920701,6,专精特新;智能穿戴;融资融券;小米概念;华为概念;消费电子概念
600138.SH,17,600138,18,旅游概念;冰雪产业;IP经济(谷子经济);养老概念;乡村振兴;体育产业;露营经济;网络游戏;国企改革;央企国企改革;一带一路;AI应用;DeepSeek概念;阿里巴巴概念;云计算;沪股通;融资融券;中字头股票
920832.BJ,151,920832,4,环氧丙烷;氢能源;融资融券;煤化工概念
688489.SH,17,688489,24,物联网;信创;网络安全;车联网(车路协同);鸿蒙概念;量子科技;数据安全;华为鲲鹏;数字货币;智慧政务;华为概念;专精特新;阿里巴巴概念;低空经济;DeepSeek概念;数字经济;区块链;商业航天;数据确权;跨境支付(CIPS);芯片概念;人形机器人;沪股通;融资融券
600512.SH,17,600512,6,PPP概念;参股银行;创投;一带一路;数字孪生;融资融券
300189.SZ,33,300189,11,转基因;粮食概念;玉米;土地流转;生态农业;海南自贸区;农业种植;乡村振兴;合成生物;深股通;融资融券
600571.SH,17,600571,21,移动支付;跨境支付(CIPS);ChatGPT概念;数据安全;信创;互联网金融;数字经济;AI智能体;百度概念;阿里巴巴概念;DeepSeek概念;人工智能;独角兽概念;数字水印;创投;华为概念;量子科技;共同富裕示范区;参股券商;沪股通;融资融券
600158.SH,17,600158,16,赛马概念;足球概念;冰雪产业;体育产业;NFT概念;文化传媒概念;职业教育;旅游概念;在线教育;京津冀一体化;数字经济;国企改革;数据中心(AIDC);沪股通;融资融券;中字头股票
603101.SH,17,603101,7,预制菜;物业管理;新疆振兴;西部大开发;一带一路;抖音概念(字节概念);低空经济
600088.SH,17,600088,8,文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票
600202.SH,17,600202,7,中俄贸易概念;创投;一带一路;黑龙江自贸区;国企改革;核电;超超临界发电
600403.SH,17,600403,5,煤炭概念;新疆振兴;国企改革;沪股通;融资融券
300581.SZ,33,300581,9,军民融合;航空发动机;军工;西部大开发;无人机;卫星导航;专精特新;融资融券;深股通
920519.BJ,151,920519,4,军工;专精特新;融资融券;西部大开发
603099.SH,17,603099,8,冰雪产业;旅游概念;网约车;体育产业;国企改革;特色小镇;融资融券;沪股通
000603.SZ,33,000603,11,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;2026一季报预增;文化传媒概念;深股通;2026中报预增;融资融券
300953.SZ,33,300953,15,人形机器人;小米汽车;比亚迪概念;小米概念;新能源汽车;机器人概念;宁德时代概念;飞行汽车(eVTOL);低空经济;锂电池概念;储能;2026一季报预增;一带一路;深股通;融资融券
300783.SZ,33,300783,9,预制菜;网红经济;IP经济(谷子经济);三胎概念;宠物经济;跨境电商;食品安全;专精特新;深股通
000607.SZ,33,000607,22,NFT概念;文化传媒概念;职业教育;知识产权保护;短剧游戏;虚拟数字人;在线教育;三胎概念;共同富裕示范区;AI应用;数字经济;数据确权;托育服务;快手概念;创投;蚂蚁集团概念;国企改革;百度概念;阿里巴巴概念;长三角一体化;低空经济;融资融券
688579.SH,17,688579,19,智慧政务;数据确权;DRG/DIP;信创;AI智能体;数据要素;AI应用;区块链;虚拟数字人;DeepSeek概念;人工智能;虚拟现实;华为概念;智能医疗;智能电网;虚拟电厂;量子科技;国企改革;融资融券
600510.SH,17,600510,14,体育产业;新型城镇化;装配式建筑;一带一路;养老概念;参股银行;创投;PPP概念;国企改革;证金持股;超级电容;OLED;沪股通;融资融券
300677.SZ,33,300677,8,养老概念;医疗器械概念;跨境电商;创投;智能医疗;人民币贬值受益;融资融券;深股通
600815.SH,17,600815,10,福建自贸区;职业教育;海峡两岸;军工;高端装备;中俄贸易概念;地下管网;智能物流;国企改革;沪股通
601999.SH,17,601999,11,数据确权;知识产权保护;文化传媒概念;在线教育;IP经济(谷子经济);AI应用;数字经济;参股保险;参股券商;国企改革;融资融券
600250.SH,17,600250,6,旅游概念;IP经济(谷子经济);养老概念;跨境电商;国企改革;低空经济
000886.SZ,33,000886,17,自由贸易港;化债概念(AMC概念);物业管理;海南自贸区;旅游概念;参股银行;水利;国企改革;数字经济;车联网(车路协同);低空经济;抖音概念(字节概念);算力租赁;东数西算(算力);数据中心(AIDC);股权转让(并购重组);深股通
600006.SH,17,600006,14,冷链物流;智能物流;一体化压铸;国企改革;DeepSeek概念;碳中和;央企国企改革;燃料电池;氢能源;车联网(车路协同);新能源汽车;无人驾驶;沪股通;融资融券
002373.SZ,33,002373,47,AI应用;AIGC概念;AI智能体;蚂蚁集团概念;数据要素;元宇宙;多模态AI;百度概念;互联网金融;云计算;数字经济;阿里巴巴概念;DeepSeek概念;人脸识别;人工智能;数字孪生;时空大数据;车联网(车路协同);智慧城市;ETC;安防;低空经济;物联网;京津冀一体化;智能物流;跨境电商;水利;小米汽车;华为概念;体育产业;大飞机;无人机;无人驾驶;机器视觉;一带一路;东数西算(算力);雄安新区;商业航天;充电桩;数据中心(AIDC);小米概念;储能;毫米波雷达;足球概念;汽车电子;深股通;融资融券
301636.SZ,33,301636,5,钙钛矿电池;专精特新;光伏概念;新能源汽车;融资融券
603255.SH,17,603255,2,POE胶膜;TOPCON电池
601588.SH,17,601588,8,物业管理;京津冀一体化;养老概念;数字经济;国企改革;小米概念;沪股通;融资融券
002111.SZ,33,002111,14,大飞机;低空经济;军工;成飞概念;高端装备;无人机;智慧城市;机器人概念;医疗器械概念;智能医疗;海工装备;换电概念;无人驾驶;深股通
300378.SZ,33,300378,25,ERP概念;ChatGPT概念;多模态AI;华为鲲鹏;AIGC概念;数据安全;AI应用;AI智能体;数据要素;百度概念;抖音概念(字节概念);阿里巴巴概念;数字经济;DeepSeek概念;人工智能;工业互联网;C2M概念;华为概念;新型工业化;创投;海峡两岸;富士康概念;芯片概念;深股通;融资融券
301032.SZ,33,301032,4,农机;一带一路;乡村振兴;融资融券
300144.SZ,33,300144,12,旅游概念;IP经济(谷子经济);网红经济;手机游戏;文化传媒概念;电子竞技;共同富裕示范区;元宇宙;抖音概念(字节概念);虚拟现实;深股通;融资融券
300160.SZ,33,300160,6,光伏建筑一体化;国企改革;家用电器;物联网;充电桩;特斯拉概念
000926.SZ,33,000926,7,装配式建筑;新型城镇化;文化传媒概念;碳交易;碳中和;融资融券;华为概念
920371.BJ,151,920371,2,预制菜;融资融券
688658.SH,17,688658,11,细胞免疫治疗;创新药;仿制药一致性评价;幽门螺杆菌概念;生物疫苗;医药电商;智能医疗;人工智能;华为概念;融资融券;沪股通
300898.SZ,33,300898,5,乳业;网红经济;三胎概念;自由贸易港;融资融券
603667.SH,17,603667,15,减速器;人形机器人;汽车热管理;特斯拉概念;机器人概念;高端装备;新能源汽车;大飞机;商业航天;无人机;军工;风电;特钢概念;沪股通;融资融券
600059.SH,17,600059,7,白酒概念;超级品牌;乡村振兴;跨境电商;国企改革;融资融券;沪股通
603825.SH,22,603825,31,ST板块;旅游概念;免税店;IP经济(谷子经济);NFT概念;网红经济;文化传媒概念;在线教育;国企改革;数字经济;农村电商;虚拟数字人;AIGC概念;AI视频;区块链;AI应用;数据要素;创投;Web3.0;DeepSeek概念;小红书概念;元宇宙;AI智能体;人工智能;百度概念;腾讯概念;抖音概念(字节概念);机器人概念;人形机器人;华为概念;数据中心(AIDC)
000676.SZ,33,000676,32,NFT概念;Web3.0;小红书概念;快手概念;虚拟数字人;网络游戏;文化传媒概念;财税数字化;互联网金融;区块链;ChatGPT概念;拼多多概念;智慧政务;网红经济;数字经济;元宇宙;独角兽概念;AI智能体;鸿蒙概念;百度概念;数字货币;抖音概念(字节概念);腾讯概念;阿里巴巴概念;人工智能;创投;虚拟现实;华为概念;智能音箱;小米概念;深股通;融资融券
300007.SZ,33,300007,42,人形机器人;机器人概念;传感器;元宇宙;语音技术;比亚迪概念;数字孪生;新能源汽车;小米概念;工业互联网;数据安全;脑机接口;物联网;抖音概念(字节概念);华为概念;智慧城市;区块链;智能家居;专精特新;军工;智能穿戴;柔性屏(折叠屏);互联网金融;独角兽概念;无线耳机;消费电子概念;核污染防治;创投;水利;储能;养老概念;氢能源;食品安全;锂电池概念;芯片概念;固态电池;碳中和;地下管网;污水处理;医美概念;深股通;融资融券
001379.SZ,33,001379,6,中俄贸易概念;人民币贬值受益;核电;商业航天;光伏概念;融资融券
