code,股票代码,所属概念,market_code,所属概念数量
002080,002080.SZ,PCB概念;2025年报预增;固态电池;宁德时代概念;锂电池概念;5G;新能源汽车;6G概念;燃料电池;氢能源;一带一路;无人机;海工装备;风电;深股通;污水处理;军工;商业航天;央企国企改革;国企改革;中字头股票;融资融券,33,22
001376,001376.SZ,碳中和;深股通,33,2
603629,603629.SH,算力租赁;英伟达概念;液冷服务器;东数西算(算力);腾讯概念;消费电子概念;小米概念;华为概念;2025年报预增;芯片概念;云计算;OLED;军工;沪股通,17,14
600176,600176.SH,PCB概念;PEEK材料;回购增持再贷款概念;光伏概念;一带一路;长三角一体化;央企国企改革;风电;国企改革;同花顺中特估100;沪股通;融资融券;DeepSeek概念;中字头股票,17,14
002842,002842.SZ,金属铜;小金属概念;光伏概念,33,3
002378,002378.SZ,小金属概念;金属铜;2025年报预增;工业母机;深股通;融资融券;军工,33,7
000070,000070.SZ,F5G概念;光纤概念;共封装光学(CPO);深圳国企改革;6G概念;5G;国资云;算力租赁;军工信息化;成飞概念;卫星导航;东数西算(算力);智慧灯杆;信创;阿里巴巴概念;抖音概念(字节概念);百度概念;无人机;华为概念;数据中心;智慧城市;腾讯概念;军工;人工智能;大飞机;低空经济;粤港澳大湾区;传感器;创投;物业管理;一带一路;高铁;光伏概念;国企改革;特高压;智能电网;绿色电力;深股通;摘帽,33,39
600980,600980.SH,稀土永磁;小金属概念;金属钴;央企国企改革;3D打印;国企改革;机器人概念,17,7
605033,605033.SH,乡村振兴;西部大开发,17,2
603125,603125.SH,风电;沪股通;融资融券,17,3
601121,601121.SH,黄金概念;金属铅;金属锌;金属铜;新疆振兴;西部大开发;国企改革;股权转让(并购重组);沪股通,17,9
600397,600397.SH,国企改革;煤炭概念;沪股通;股权转让(并购重组),17,4
001217,001217.SZ,染料;煤化工概念;航运概念;化肥,33,4
002951,002951.SZ,超级电容;数字经济;储能;风电;蚂蚁集团概念;西部大开发;深股通;摘帽,33,8
603381,603381.SH,光伏概念;光伏建筑一体化;储能;比亚迪概念;专精特新;人形机器人;机器人概念;液冷服务器;金属回收;沪股通;融资融券,17,11
600583,600583.SH,天然气;绿色电力;央企国企改革;国企改革;一带一路;风电;海工装备;京津冀一体化;高端装备;DeepSeek概念;数字孪生;数据中心;沪股通;融资融券;机器人概念,17,15
605006,605006.SH,PCB概念;国企改革;风电,17,3
600545,600545.SH,新疆振兴;西部大开发;一带一路;DeepSeek概念;华为概念;机器人概念;人民币贬值受益;新型工业化;AI智能体;融资融券,17,10
603980,603980.SH,染料;有机硅概念;阿尔茨海默概念;家用电器;仿制药一致性评价;医疗器械概念;创新药;股权转让(并购重组),17,8
603682,603682.SH,租售同权;物业管理;新型城镇化;IP经济(谷子经济);小红书概念,17,5
002340,002340.SZ,金属钴;金属镍;小金属概念;稀土永磁;金属铜;金属回收;动力电池回收;钠离子电池;固态电池;锂电池概念;黄金概念;宁德时代概念;石墨烯;汽车拆解概念;氢能源;特斯拉概念;储能;燃料电池;比亚迪概念;新能源汽车;回购增持再贷款概念;固废处理;专精特新;一带一路;碳中和;垃圾分类;污水处理;机器人概念;低空经济;土壤修复;深股通;融资融券;粤港澳大湾区,33,33
